f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.567654e+03,-3.504203e+03,5.000759e+03,-44.4859
1.263134e-02,7.936502e-02,3.181384e+03,-3.117881e+03,4.454479e+03,-44.4224
1.595506e-02,1.002486e-01,2.837700e+03,-2.774146e+03,3.968428e+03,-44.3512
2.015338e-02,1.266274e-01,2.531906e+03,-2.468304e+03,3.535969e+03,-44.2712
2.545641e-02,1.599473e-01,2.259827e+03,-2.196177e+03,3.151193e+03,-44.1816
3.215484e-02,2.020348e-01,2.017746e+03,-1.954050e+03,2.808845e+03,-44.0812
4.061586e-02,2.551970e-01,1.802355e+03,-1.738614e+03,2.504249e+03,-43.9687
5.130326e-02,3.223479e-01,1.610713e+03,-1.546928e+03,2.233245e+03,-43.8428
6.480286e-02,4.071684e-01,1.440200e+03,-1.376374e+03,1.992130e+03,-43.7018
8.185467e-02,5.143081e-01,1.288489e+03,-1.224621e+03,1.777611e+03,-43.5442
1.033934e-01,6.496398e-01,1.153505e+03,-1.089599e+03,1.586758e+03,-43.3681
1.305997e-01,8.205818e-01,1.033405e+03,-9.694621e+02,1.416963e+03,-43.1714
1.649648e-01,1.036504e+00,9.265486e+02,-8.625699e+02,1.265906e+03,-42.9520
2.083726e-01,1.309244e+00,8.314748e+02,-7.674623e+02,1.131525e+03,-42.7074
2.632024e-01,1.653749e+00,7.468848e+02,-6.828405e+02,1.011982e+03,-42.4352
3.324598e-01,2.088906e+00,6.716228e+02,-6.075486e+02,9.056448e+02,-42.1324
4.199411e-01,2.638568e+00,6.046603e+02,-5.405582e+02,8.110593e+02,-41.7963
5.304417e-01,3.332864e+00,5.450821e+02,-4.809544e+02,7.269330e+02,-41.4236
6.700188e-01,4.209852e+00,4.920739e+02,-4.279230e+02,6.521157e+02,-41.0112
8.463232e-01,5.317605e+00,4.449114e+02,-3.807397e+02,5.855842e+02,-40.5558
