f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.624689e+02,-1.108257e+02,1.966684e+02,-34.2993
1.263134e-02,7.936502e-02,1.502520e+02,-9.860882e+01,1.797202e+02,-33.2765
1.595506e-02,1.002486e-01,1.393819e+02,-8.773869e+01,1.646979e+02,-32.1898
2.015338e-02,1.266274e-01,1.297100e+02,-7.806682e+01,1.513906e+02,-31.0419
2.545641e-02,1.599473e-01,1.211043e+02,-6.946113e+01,1.396105e+02,-29.8370
3.215484e-02,2.020348e-01,1.134473e+02,-6.180408e+01,1.291899e+02,-28.5808
4.061586e-02,2.551970e-01,1.066343e+02,-5.499111e+01,1.199787e+02,-27.2801
5.130326e-02,3.223479e-01,1.005724e+02,-4.892917e+01,1.118430e+02,-25.9432
6.480286e-02,4.071684e-01,9.517867e+01,-4.353547e+01,1.046629e+02,-24.5797
8.185467e-02,5.143081e-01,9.037954e+01,-3.873634e+01,9.833090e+01,-23.1998
1.033934e-01,6.496398e-01,8.610945e+01,-3.446624e+01,9.275106e+01,-21.8143
1.305997e-01,8.205818e-01,8.231007e+01,-3.066686e+01,8.783737e+01,-20.4342
1.649648e-01,1.036504e+00,7.892951e+01,-2.728630e+01,8.351293e+01,-19.0705
2.083726e-01,1.309244e+00,7.592161e+01,-2.427840e+01,7.970904e+01,-17.7334
2.632024e-01,1.653749e+00,7.324528e+01,-2.160207e+01,7.636439e+01,-16.4323
3.324598e-01,2.088906e+00,7.086398e+01,-1.922077e+01,7.342439e+01,-15.1755
4.199411e-01,2.638568e+00,6.874518e+01,-1.710197e+01,7.084051e+01,-13.9701
5.304417e-01,3.332864e+00,6.685995e+01,-1.521674e+01,6.856969e+01,-12.8216
6.700188e-01,4.209852e+00,6.518253e+01,-1.353932e+01,6.657384e+01,-11.7343
8.463232e-01,5.317605e+00,6.369003e+01,-1.204682e+01,6.481933e+01,-10.7108
1.069019e+00,6.716846e+00,6.236205e+01,-1.071885e+01,6.327653e+01,-9.7528
1.350314e+00,8.484273e+00,6.118046e+01,-9.537259e+00,6.191936e+01,-8.8604
1.705627e+00,1.071677e+01,6.012912e+01,-8.485926e+00,6.072497e+01,-8.0330
2.154435e+00,1.353671e+01,5.919367e+01,-7.550488e+00,5.967329e+01,-7.2691
2.721339e+00,1.709868e+01,5.836135e+01,-6.718169e+00,5.874675e+01,-6.5666
3.437414e+00,2.159791e+01,5.762077e+01,-5.977602e+00,5.793000e+01,-5.9227
4.341913e+00,2.728105e+01,5.696183e+01,-5.318673e+00,5.720960e+01,-5.3344
5.484417e+00,3.445961e+01,5.637553e+01,-4.732382e+00,5.657381e+01,-4.7984
