f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,2.480794e+04,-9.980527e+03,2.674032e+04,-21.9155
1.263134e-02,7.936502e-02,2.370791e+04,-8.882103e+03,2.531713e+04,-20.5383
1.595506e-02,1.002486e-01,2.272902e+04,-7.905094e+03,2.406447e+04,-19.1775
2.015338e-02,1.266274e-01,2.185788e+04,-7.036185e+03,2.296247e+04,-17.8437
2.545641e-02,1.599473e-01,2.108261e+04,-6.263543e+03,2.199337e+04,-16.5464
3.215484e-02,2.020348e-01,2.039260e+04,-5.576660e+03,2.114137e+04,-15.2944
4.061586e-02,2.551970e-01,1.977844e+04,-4.966206e+03,2.039240e+04,-14.0951
5.130326e-02,3.223479e-01,1.923172e+04,-4.423912e+03,1.973399e+04,-12.9545
6.480286e-02,4.071684e-01,1.874498e+04,-3.942454e+03,1.915508e+04,-11.8774
8.185467e-02,5.143081e-01,1.831154e+04,-3.515358e+03,1.864592e+04,-10.8671
1.033934e-01,6.496398e-01,1.792549e+04,-3.136920e+03,1.819789e+04,-9.9261
1.305997e-01,8.205818e-01,1.758151e+04,-2.802128e+03,1.780341e+04,-9.0556
1.649648e-01,1.036504e+00,1.727490e+04,-2.506608e+03,1.745581e+04,-8.2561
2.083726e-01,1.309244e+00,1.700143e+04,-2.246567e+03,1.714921e+04,-7.5274
2.632024e-01,1.653749e+00,1.675731e+04,-2.018754e+03,1.687847e+04,-6.8693
3.324598e-01,2.088906e+00,1.653916e+04,-1.820432e+03,1.663905e+04,-6.2811
4.199411e-01,2.638568e+00,1.634393e+04,-1.649355e+03,1.642694e+04,-5.7625
5.304417e-01,3.332864e+00,1.616883e+04,-1.503758e+03,1.623860e+04,-5.3134
6.700188e-01,4.209852e+00,1.601133e+04,-1.382358e+03,1.607089e+04,-4.9345
8.463232e-01,5.317605e+00,1.586909e+04,-1.284367e+03,1.592098e+04,-4.6272
1.069019e+00,6.716846e+00,1.573991e+04,-1.209516e+03,1.578631e+04,-4.3942
1.350314e+00,8.484273e+00,1.562164e+04,-1.158095e+03,1.566451e+04,-4.2398
1.705627e+00,1.071677e+01,1.551216e+04,-1.131005e+03,1.555334e+04,-4.1701
2.154435e+00,1.353671e+01,1.540925e+04,-1.129831e+03,1.545061e+04,-4.1935
2.721339e+00,1.709868e+01,1.531046e+04,-1.156915e+03,1.535411e+04,-4.3213
3.437414e+00,2.159791e+01,1.521299e+04,-1.215451e+03,1.526147e+04,-4.5680
4.341913e+00,2.728105e+01,1.511339e+04,-1.309574e+03,1.517002e+04,-4.9523
5.484417e+00,3.445961e+01,1.500726e+04,-1.444421e+03,1.507661e+04,-5.4977
6.927551e+00,4.352708e+01,1.488879e+04,-1.626138e+03,1.497733e+04,-6.2331
8.750422e+00,5.498052e+01,1.475013e+04,-1.861744e+03,1.486715e+04,-7.1938
1.105295e+01,6.944774e+01,1.458054e+04,-2.158745e+03,1.473948e+04,-8.4218
1.396135e+01,8.772177e+01,1.436539e+04,-2.524292e+03,1.458549e+04,-9.9663
1.763505e+01,1.108043e+02,1.408508e+04,-2.963600e+03,1.439349e+04,-11.8821
2.227543e+01,1.399607e+02,1.371422e+04,-3.477278e+03,1.414819e+04,-14.2277
2.813684e+01,1.767890e+02,1.322186e+04,-4.057283e+03,1.383037e+04,-17.0592
3.554059e+01,2.233081e+02,1.257409e+04,-4.681698e+03,1.341738e+04,-20.4218
4.489251e+01,2.820680e+02,1.174056e+04,-5.309664e+03,1.288539e+04,-24.3349
5.670524e+01,3.562895e+02,1.070583e+04,-5.879723e+03,1.221417e+04,-28.7759
7.162629e+01,4.500413e+02,9.483538e+03,-6.316247e+03,1.139441e+04,-33.6645
9.047357e+01,5.684622e+02,8.126194e+03,-6.546835e+03,1.043533e+04,-38.8565
1.142802e+02,7.180437e+02,6.721497e+03,-6.526424e+03,9.368710e+03,-44.1564
1.443512e+02,9.069851e+02,5.371430e+03,-6.255433e+03,8.245162e+03,-49.3479
1.823348e+02,1.145643e+03,4.163329e+03,-5.779706e+03,7.123083e+03,-54.2334
2.303132e+02,1.447101e+03,3.149020e+03,-5.172211e+03,6.055418e+03,-58.6655
2.909163e+02,1.827881e+03,2.341197e+03,-4.508775e+03,5.080380e+03,-62.5592
3.674662e+02,2.308858e+03,1.723501e+03,-3.850622e+03,4.218737e+03,-65.8872
4.641589e+02,2.916396e+03,1.264812e+03,-3.237993e+03,3.476255e+03,-68.6636
5.862947e+02,3.683798e+03,9.307333e+02,-2.691944e+03,2.848302e+03,-70.9273
7.405685e+02,4.653129e+03,6.901496e+02,-2.219542e+03,2.324365e+03,-72.7273
9.354369e+02,5.877523e+03,5.177595e+02,-1.819188e+03,1.891433e+03,-74.1131
1.181582e+03,7.424097e+03,3.942569e+02,-1.484704e+03,1.536159e+03,-75.1286
1.492496e+03,9.377626e+03,3.054772e+02,-1.208016e+03,1.246041e+03,-75.8088
1.885221e+03,1.184519e+04,2.412753e+02,-9.807227e+02,1.009966e+03,-76.1787
2.381286e+03,1.496206e+04,1.944854e+02,-7.949203e+02,8.183660e+02,-76.2521
3.007883e+03,1.889908e+04,1.600814e+02,-6.435632e+02,6.631740e+02,-76.0316
3.799357e+03,2.387207e+04,1.345452e+02,-5.205738e+02,5.376797e+02,-75.5087
4.799096e+03,3.015361e+04,1.154096e+02,-4.208163e+02,4.363551e+02,-74.6636
6.061899e+03,3.808803e+04,1.009367e+02,-3.400098e+02,3.546758e+02,-73.4657
7.656988e+03,4.811028e+04,8.989409e+01,-2.746186e+02,2.889573e+02,-71.8746
9.671799e+03,6.076970e+04,8.140057e+01,-2.217407e+02,2.362096e+02,-69.8419
1.221677e+04,7.676025e+04,7.482009e+01,-1.790053e+02,1.940127e+02,-67.3162
1.543142e+04,9.695845e+04,6.968890e+01,-1.444817e+02,1.604104e+02,-64.2502
1.949194e+04,1.224715e+05,6.566537e+01,-1.166009e+02,1.338197e+02,-60.6134
2.462092e+04,1.546978e+05,6.249518e+01,-9.409051e+01,1.129543e+02,-56.4078
3.109952e+04,1.954040e+05,5.998712e+01,-7.591961e+01,9.675868e+01,-51.6863
3.928284e+04,2.468214e+05,5.799606e+01,-6.125391e+01,8.435392e+01,-46.5649
