f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,4.682865e+03,-3.154263e+03,5.646114e+03,-33.9632
1.263134e-02,7.936502e-02,4.335157e+03,-2.806585e+03,5.164349e+03,-32.9191
1.595506e-02,1.002486e-01,4.025774e+03,-2.497237e+03,4.737410e+03,-31.8118
2.015338e-02,1.266274e-01,3.750494e+03,-2.221997e+03,4.359297e+03,-30.6448
2.545641e-02,1.599473e-01,3.505554e+03,-1.977104e+03,4.024656e+03,-29.4226
3.215484e-02,2.020348e-01,3.287611e+03,-1.759216e+03,3.728703e+03,-28.1514
4.061586e-02,2.551970e-01,3.093688e+03,-1.565356e+03,3.467167e+03,-26.8387
5.130326e-02,3.223479e-01,2.921137e+03,-1.392878e+03,3.236224e+03,-25.4931
6.480286e-02,4.071684e-01,2.767600e+03,-1.239426e+03,3.032456e+03,-24.1245
8.185467e-02,5.143081e-01,2.630981e+03,-1.102907e+03,2.852799e+03,-22.7434
1.033934e-01,6.496398e-01,2.509414e+03,-9.814558e+02,2.694515e+03,-21.3609
1.305997e-01,8.205818e-01,2.401238e+03,-8.734167e+02,2.555152e+03,-19.9881
1.649648e-01,1.036504e+00,2.304976e+03,-7.773155e+02,2.432516e+03,-18.6358
2.083726e-01,1.309244e+00,2.219313e+03,-6.918421e+02,2.324649e+03,-17.3142
2.632024e-01,1.653749e+00,2.143079e+03,-6.158323e+02,2.229806e+03,-16.0325
3.324598e-01,2.088906e+00,2.075232e+03,-5.482514e+02,2.146431e+03,-14.7987
4.199411e-01,2.638568e+00,2.014845e+03,-4.881813e+02,2.073143e+03,-13.6198
5.304417e-01,3.332864e+00,1.961094e+03,-4.348071e+02,2.008718e+03,-12.5012
6.700188e-01,4.209852e+00,1.913243e+03,-3.874070e+02,1.952071e+03,-11.4469
8.463232e-01,5.317605e+00,1.870637e+03,-3.453424e+02,1.902247e+03,-10.4597
1.069019e+00,6.716846e+00,1.832694e+03,-3.080499e+02,1.858403e+03,-9.5414
1.350314e+00,8.484273e+00,1.798893e+03,-2.750337e+02,1.819796e+03,-8.6927
1.705627e+00,1.071677e+01,1.768771e+03,-2.458597e+02,1.785777e+03,-7.9134
2.154435e+00,1.353671e+01,1.741914e+03,-2.201505e+02,1.755771e+03,-7.2031
2.721339e+00,1.709868e+01,1.717951e+03,-1.975809e+02,1.729275e+03,-6.5607
3.437414e+00,2.159791e+01,1.696550e+03,-1.778748e+02,1.705849e+03,-5.9853
4.341913e+00,2.728105e+01,1.677412e+03,-1.608029e+02,1.685102e+03,-5.4759
5.484417e+00,3.445961e+01,1.660267e+03,-1.461812e+02,1.666690e+03,-5.0317
6.927551e+00,4.352708e+01,1.644871e+03,-1.338708e+02,1.650309e+03,-4.6529
8.750422e+00,5.498052e+01,1.630996e+03,-1.237788e+02,1.635686e+03,-4.3399
1.105295e+01,6.944774e+01,1.618432e+03,-1.158597e+02,1.622574e+03,-4.0947
1.396135e+01,8.772177e+01,1.606978e+03,-1.101190e+02,1.610747e+03,-3.9201
1.763505e+01,1.108043e+02,1.596438e+03,-1.066178e+02,1.599994e+03,-3.8208
2.227543e+01,1.399607e+02,1.586611e+03,-1.054783e+02,1.590113e+03,-3.8034
2.813684e+01,1.767890e+02,1.577281e+03,-1.068917e+02,1.580899e+03,-3.8770
3.554059e+01,2.233081e+02,1.568209e+03,-1.111268e+02,1.572141e+03,-4.0533
4.489251e+01,2.820680e+02,1.559107e+03,-1.185388e+02,1.563606e+03,-4.3478
5.670524e+01,3.562895e+02,1.549616e+03,-1.295786e+02,1.555024e+03,-4.7799
7.162629e+01,4.500413e+02,1.539270e+03,-1.447978e+02,1.546065e+03,-5.3739
9.047357e+01,5.684622e+02,1.527445e+03,-1.648463e+02,1.536314e+03,-6.1597
1.142802e+02,7.180437e+02,1.513288e+03,-1.904539e+02,1.525225e+03,-7.1732
1.443512e+02,9.069851e+02,1.495631e+03,-2.223809e+02,1.512073e+03,-8.4572
1.823348e+02,1.145643e+03,1.472884e+03,-2.613162e+02,1.495886e+03,-10.0606
2.303132e+02,1.447101e+03,1.442929e+03,-3.076923e+02,1.475371e+03,-12.0375
2.909163e+02,1.827881e+03,1.403057e+03,-3.613800e+02,1.448850e+03,-14.4435
3.674662e+02,2.308858e+03,1.350044e+03,-4.212439e+02,1.414237e+03,-17.3291
4.641589e+02,2.916396e+03,1.280504e+03,-4.846018e+02,1.369134e+03,-20.7290
5.862947e+02,3.683798e+03,1.191678e+03,-5.467700e+02,1.311127e+03,-24.6468
7.405685e+02,4.653129e+03,1.082699e+03,-6.010767e+02,1.238358e+03,-29.0375
9.354369e+02,5.877523e+03,9.559764e+02,-6.398100e+02,1.150325e+03,-33.7934
1.181582e+03,7.424097e+03,8.178883e+02,-6.562402e+02,1.048615e+03,-38.7421
1.492496e+03,9.377626e+03,6.779074e+02,-6.470215e+02,9.371207e+02,-43.6646
1.885221e+03,1.184519e+04,5.461280e+02,-6.135826e+02,8.214252e+02,-48.3289
2.381286e+03,1.496206e+04,4.304348e+02,-5.615320e+02,7.075255e+02,-52.5285
3.007883e+03,1.889908e+04,3.348674e+02,-4.984988e+02,6.005308e+02,-56.1087
3.799357e+03,2.387207e+04,2.597304e+02,-4.317932e+02,5.038901e+02,-58.9724
4.799096e+03,3.015361e+04,2.028226e+02,-3.669694e+02,4.192893e+02,-61.0707
6.061899e+03,3.808803e+04,1.608394e+02,-3.074688e+02,3.469962e+02,-62.3856
7.656988e+03,4.811028e+04,1.303850e+02,-2.549434e+02,2.863501e+02,-62.9136
9.671799e+03,6.076970e+04,1.084989e+02,-2.098040e+02,2.361984e+02,-62.6545
1.221677e+04,7.676025e+04,9.282489e+01,-1.717252e+02,1.952076e+02,-61.6069
1.543142e+04,9.695845e+04,8.158910e+01,-1.400135e+02,1.620511e+02,-59.7697
1.949194e+04,1.224715e+05,7.350063e+01,-1.138401e+02,1.355062e+02,-57.1518
2.462092e+04,1.546978e+05,6.763948e+01,-9.237332e+01,1.144899e+02,-53.7869
3.109952e+04,1.954040e+05,6.335758e+01,-7.484476e+01,9.806080e+01,-49.7514
3.928284e+04,2.468214e+05,6.020085e+01,-6.057722e+01,8.540341e+01,-45.1785
4.961948e+04,3.117684e+05,5.785143e+01,-4.899045e+01,7.580799e+01,-40.2590
6.267603e+04,3.938051e+05,5.608617e+01,-3.959632e+01,6.865514e+01,-35.2217
7.916819e+04,4.974284e+05,5.474764e+01,-3.198919e+01,6.340830e+01,-30.2979
1.000000e+05,6.283185e+05,5.372393e+01,-2.583467e+01,5.961285e+01,-25.6819
