f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.195313e+03,-9.974319e+02,1.556805e+03,-39.8434
1.263134e-02,7.936502e-02,1.085361e+03,-8.874806e+02,1.402009e+03,-39.2723
1.595506e-02,1.002486e-01,9.875297e+02,-7.896500e+02,1.264422e+03,-38.6466
2.015338e-02,1.266274e-01,9.004828e+02,-7.026037e+02,1.142156e+03,-37.9632
2.545641e-02,1.599473e-01,8.230314e+02,-6.251532e+02,1.033536e+03,-37.2194
3.215484e-02,2.020348e-01,7.541177e+02,-5.562406e+02,9.370684e+02,-36.4126
4.061586e-02,2.551970e-01,6.928007e+02,-4.949247e+02,8.514242e+02,-35.5414
5.130326e-02,3.223479e-01,6.382427e+02,-4.403682e+02,7.754211e+02,-34.6045
6.480286e-02,4.071684e-01,5.896989e+02,-3.918259e+02,7.080059e+02,-33.6021
8.185467e-02,5.143081e-01,5.465060e+02,-3.486350e+02,6.482401e+02,-32.5352
1.033934e-01,6.496398e-01,5.080744e+02,-3.102056e+02,5.952874e+02,-31.4062
1.305997e-01,8.205818e-01,4.738790e+02,-2.760127e+02,5.484016e+02,-30.2188
1.649648e-01,1.036504e+00,4.434529e+02,-2.455896e+02,5.069168e+02,-28.9782
2.083726e-01,1.309244e+00,4.163805e+02,-2.185206e+02,4.702382e+02,-27.6909
2.632024e-01,1.653749e+00,3.922921e+02,-1.944362e+02,4.378339e+02,-26.3649
3.324598e-01,2.088906e+00,3.708587e+02,-1.730074e+02,4.092282e+02,-25.0093
4.199411e-01,2.638568e+00,3.517876e+02,-1.539417e+02,3.839955e+02,-23.6341
5.304417e-01,3.332864e+00,3.348183e+02,-1.369786e+02,3.617546e+02,-22.2501
6.700188e-01,4.209852e+00,3.197190e+02,-1.218866e+02,3.421646e+02,-20.8684
8.463232e-01,5.317605e+00,3.062837e+02,-1.084597e+02,3.249203e+02,-19.4998
1.069019e+00,6.716846e+00,2.943286e+02,-9.651458e+01,3.097489e+02,-18.1551
1.350314e+00,8.484273e+00,2.836906e+02,-8.588822e+01,2.964071e+02,-16.8439
1.705627e+00,1.071677e+01,2.742244e+02,-7.643567e+01,2.846777e+02,-15.5750
2.154435e+00,1.353671e+01,2.658006e+02,-6.802804e+01,2.743679e+02,-14.3559
2.721339e+00,1.709868e+01,2.583042e+02,-6.055076e+01,2.653063e+02,-13.1929
3.437414e+00,2.159791e+01,2.516328e+02,-5.390202e+01,2.573412e+02,-12.0906
4.341913e+00,2.728105e+01,2.456952e+02,-4.799142e+01,2.503384e+02,-11.0524
5.484417e+00,3.445961e+01,2.404103e+02,-4.273872e+01,2.441797e+02,-10.0804
6.927551e+00,4.352708e+01,2.357059e+02,-3.807278e+01,2.387609e+02,-9.1755
8.750422e+00,5.498052e+01,2.315175e+02,-3.393065e+01,2.339907e+02,-8.3378
1.105295e+01,6.944774e+01,2.277880e+02,-3.025670e+01,2.297887e+02,-7.5662
1.396135e+01,8.772177e+01,2.244662e+02,-2.700191e+01,2.260844e+02,-6.8594
1.763505e+01,1.108043e+02,2.215066e+02,-2.412328e+01,2.228163e+02,-6.2153
2.227543e+01,1.399607e+02,2.188685e+02,-2.158331e+01,2.199301e+02,-5.6319
2.813684e+01,1.767890e+02,2.165156e+02,-1.934952e+01,2.173784e+02,-5.1068
3.554059e+01,2.233081e+02,2.144153e+02,-1.739419e+01,2.151197e+02,-4.6379
4.489251e+01,2.820680e+02,2.125385e+02,-1.569402e+01,2.131171e+02,-4.2231
5.670524e+01,3.562895e+02,2.108587e+02,-1.423003e+01,2.113383e+02,-3.8608
7.162629e+01,4.500413e+02,2.093522e+02,-1.298748e+01,2.097547e+02,-3.5499
9.047357e+01,5.684622e+02,2.079971e+02,-1.195586e+01,2.083404e+02,-3.2898
1.142802e+02,7.180437e+02,2.067732e+02,-1.112907e+01,2.070724e+02,-3.0808
1.443512e+02,9.069851e+02,2.056614e+02,-1.050564e+01,2.059295e+02,-2.9243
1.823348e+02,1.145643e+03,2.046433e+02,-1.008913e+01,2.048919e+02,-2.8225
2.303132e+02,1.447101e+03,2.037007e+02,-9.888645e+00,2.039405e+02,-2.7792
2.909163e+02,1.827881e+03,2.028142e+02,-9.919487e+00,2.030567e+02,-2.8001
3.674662e+02,2.308858e+03,2.019631e+02,-1.020396e+01,2.022207e+02,-2.8923
