f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,5.192884e+03,-3.505943e+03,6.265596e+03,-34.0250
1.263134e-02,7.936502e-02,4.806421e+03,-3.119851e+03,5.730196e+03,-32.9876
1.595506e-02,1.002486e-01,4.462521e+03,-2.776382e+03,5.255701e+03,-31.8880
2.015338e-02,1.266274e-01,4.156489e+03,-2.470848e+03,4.835441e+03,-30.7296
2.545641e-02,1.599473e-01,3.884143e+03,-2.199079e+03,4.463465e+03,-29.5172
3.215484e-02,2.020348e-01,3.641765e+03,-1.957370e+03,4.134458e+03,-28.2571
4.061586e-02,2.551970e-01,3.426043e+03,-1.742423e+03,3.843671e+03,-26.9571
5.130326e-02,3.223479e-01,3.234030e+03,-1.551312e+03,3.586853e+03,-25.6263
6.480286e-02,4.071684e-01,3.063103e+03,-1.381436e+03,3.360203e+03,-24.2750
8.185467e-02,5.143081e-01,2.910926e+03,-1.230486e+03,3.160314e+03,-22.9144
1.033934e-01,6.496398e-01,2.775420e+03,-1.096415e+03,2.984138e+03,-21.5562
1.305997e-01,8.205818e-01,2.654732e+03,-9.774095e+02,2.828945e+03,-20.2125
1.649648e-01,1.036504e+00,2.547210e+03,-8.718681e+02,2.692292e+03,-18.8952
2.083726e-01,1.309244e+00,2.451384e+03,-7.783771e+02,2.571994e+03,-17.6160
2.632024e-01,1.653749e+00,2.365939e+03,-6.956949e+02,2.466102e+03,-16.3858
3.324598e-01,2.088906e+00,2.289701e+03,-6.227357e+02,2.372874e+03,-15.2149
4.199411e-01,2.638568e+00,2.221621e+03,-5.585571e+02,2.290761e+03,-14.1127
5.304417e-01,3.332864e+00,2.160755e+03,-5.023495e+02,2.218382e+03,-13.0881
6.700188e-01,4.209852e+00,2.106256e+03,-4.534275e+02,2.154509e+03,-12.1490
8.463232e-01,5.317605e+00,2.057354e+03,-4.112245e+02,2.098049e+03,-11.3033
1.069019e+00,6.716846e+00,2.013347e+03,-3.752885e+02,2.048026e+03,-10.5588
1.350314e+00,8.484273e+00,1.973588e+03,-3.452808e+02,2.003564e+03,-9.9235
1.705627e+00,1.071677e+01,1.937465e+03,-3.209768e+02,1.963873e+03,-9.4067
2.154435e+00,1.353671e+01,1.904389e+03,-3.022679e+02,1.928228e+03,-9.0188
2.721339e+00,1.709868e+01,1.873772e+03,-2.891660e+02,1.895953e+03,-8.7728
