f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.351780e+03,-3.154132e+03,4.602497e+03,-43.2599
1.263134e-02,7.936502e-02,3.004086e+03,-2.806436e+03,4.111036e+03,-43.0518
1.595506e-02,1.002486e-01,2.694720e+03,-2.497069e+03,3.673808e+03,-42.8198
2.015338e-02,1.266274e-01,2.419456e+03,-2.221804e+03,3.284842e+03,-42.5615
2.545641e-02,1.599473e-01,2.174537e+03,-1.976884e+03,2.938823e+03,-42.2742
3.215484e-02,2.020348e-01,1.956616e+03,-1.758964e+03,2.631026e+03,-41.9550
4.061586e-02,2.551970e-01,1.762718e+03,-1.565066e+03,2.357245e+03,-41.6009
5.130326e-02,3.223479e-01,1.590193e+03,-1.392543e+03,2.113739e+03,-41.2088
6.480286e-02,4.071684e-01,1.436687e+03,-1.239038e+03,1.897179e+03,-40.7754
8.185467e-02,5.143081e-01,1.300103e+03,-1.102456e+03,1.704605e+03,-40.2972
1.033934e-01,6.496398e-01,1.178574e+03,-9.809308e+02,1.533383e+03,-39.7707
1.305997e-01,8.205818e-01,1.070442e+03,-8.728027e+02,1.381170e+03,-39.1927
1.649648e-01,1.036504e+00,9.742291e+02,-7.765949e+02,1.245882e+03,-38.5597
2.083726e-01,1.309244e+00,8.886217e+02,-6.909937e+02,1.125665e+03,-37.8687
2.632024e-01,1.653749e+00,8.124506e+02,-6.148298e+02,1.018868e+03,-37.1170
3.324598e-01,2.088906e+00,7.446753e+02,-5.470633e+02,9.240236e+02,-36.3022
4.199411e-01,2.638568e+00,6.843703e+02,-4.867684e+02,8.398251e+02,-35.4229
5.304417e-01,3.332864e+00,6.307119e+02,-4.331220e+02,7.651092e+02,-34.4781
6.700188e-01,4.209852e+00,5.829672e+02,-3.853912e+02,6.988399e+02,-33.4681
8.463232e-01,5.317605e+00,5.404842e+02,-3.429244e+02,6.400940e+02,-32.3942
1.069019e+00,6.716846e+00,5.026826e+02,-3.051416e+02,5.880487e+02,-31.2589
1.350314e+00,8.484273e+00,4.690462e+02,-2.715269e+02,5.419697e+02,-30.0662
1.705627e+00,1.071677e+01,4.391155e+02,-2.416214e+02,5.012018e+02,-28.8216
2.154435e+00,1.353671e+01,4.124817e+02,-2.150167e+02,4.651595e+02,-27.5319
2.721339e+00,1.709868e+01,3.887811e+02,-1.913499e+02,4.333191e+02,-26.2054
3.437414e+00,2.159791e+01,3.676899e+02,-1.702978e+02,4.052125e+02,-24.8515
4.341913e+00,2.728105e+01,3.489201e+02,-1.515735e+02,3.804205e+02,-23.4805
5.484417e+00,3.445961e+01,3.322152e+02,-1.349215e+02,3.585677e+02,-22.1034
6.927551e+00,4.352708e+01,3.173472e+02,-1.201150e+02,3.393182e+02,-20.7315
8.750422e+00,5.498052e+01,3.041128e+02,-1.069526e+02,3.223716e+02,-19.3761
1.105295e+01,6.944774e+01,2.923313e+02,-9.525526e+01,3.074592e+02,-18.0480
1.396135e+01,8.772177e+01,2.818415e+02,-8.486442e+01,2.943410e+02,-16.7574
1.763505e+01,1.108043e+02,2.725002e+02,-7.563951e+01,2.828033e+02,-15.5134
2.227543e+01,1.399607e+02,2.641796e+02,-6.745625e+01,2.726558e+02,-14.3240
2.813684e+01,1.767890e+02,2.567657e+02,-6.020500e+01,2.637295e+02,-13.1960
3.554059e+01,2.233081e+02,2.501569e+02,-5.378938e+01,2.558745e+02,-12.1351
4.489251e+01,2.820680e+02,2.442626e+02,-4.812505e+01,2.489583e+02,-11.1458
5.670524e+01,3.562895e+02,2.390015e+02,-4.313871e+01,2.428635e+02,-10.2315
7.162629e+01,4.500413e+02,2.343010e+02,-3.876731e+01,2.374866e+02,-9.3950
9.047357e+01,5.684622e+02,2.300957e+02,-3.495736e+01,2.327360e+02,-8.6386
1.142802e+02,7.180437e+02,2.263265e+02,-3.166451e+01,2.285308e+02,-7.9643
1.443512e+02,9.069851e+02,2.229397e+02,-2.885323e+01,2.247991e+02,-7.3743
1.823348e+02,1.145643e+03,2.198858e+02,-2.649674e+01,2.214765e+02,-6.8711
2.303132e+02,1.447101e+03,2.171188e+02,-2.457702e+01,2.185054e+02,-6.4582
2.909163e+02,1.827881e+03,2.145945e+02,-2.308513e+01,2.158327e+02,-6.1400
3.674662e+02,2.308858e+03,2.122697e+02,-2.202154e+01,2.134089e+02,-5.9229
4.641589e+02,2.916396e+03,2.100999e+02,-2.139673e+01,2.111866e+02,-5.8150
5.862947e+02,3.683798e+03,2.080374e+02,-2.123170e+01,2.091180e+02,-5.8273
7.405685e+02,4.653129e+03,2.060280e+02,-2.155843e+01,2.071529e+02,-5.9736
9.354369e+02,5.877523e+03,2.040071e+02,-2.241984e+01,2.052353e+02,-6.2715
1.181582e+03,7.424097e+03,2.018938e+02,-2.386881e+01,2.032999e+02,-6.7425
1.492496e+03,9.377626e+03,1.995841e+02,-2.596505e+01,2.012660e+02,-7.4123
1.885221e+03,1.184519e+04,1.969412e+02,-2.876862e+01,1.990313e+02,-8.3108
2.381286e+03,1.496206e+04,1.937860e+02,-3.232732e+01,1.964639e+02,-9.4709
3.007883e+03,1.889908e+04,1.898878e+02,-3.665520e+01,1.933933e+02,-10.9258
3.799357e+03,2.387207e+04,1.849627e+02,-4.169903e+01,1.896049e+02,-12.7047
4.799096e+03,3.015361e+04,1.786890e+02,-4.729247e+01,1.848414e+02,-14.8242
6.061899e+03,3.808803e+04,1.707535e+02,-5.310595e+01,1.788211e+02,-17.2762
7.656988e+03,4.811028e+04,1.609425e+02,-5.861531e+01,1.712841e+02,-20.0116
9.671799e+03,6.076970e+04,1.492697e+02,-6.312946e+01,1.620703e+02,-22.9246
1.221677e+04,7.676025e+04,1.360935e+02,-6.591533e+01,1.512160e+02,-25.8427
1.543142e+04,9.695845e+04,1.221410e+02,-6.641116e+01,1.390282e+02,-28.5341
1.949194e+04,1.224715e+05,1.083700e+02,-6.443706e+01,1.260801e+02,-30.7358
2.462092e+04,1.546978e+05,9.570934e+01,-6.027218e+01,1.131062e+02,-32.2003
3.109952e+04,1.954040e+05,8.481120e+01,-5.454264e+01,1.008357e+02,-32.7453
