f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.146555e+04,-3.150720e+04,4.452847e+04,-45.0379
1.263134e-02,7.936502e-02,2.799361e+04,-2.803090e+04,3.961532e+04,-45.0381
1.595506e-02,1.002486e-01,2.490486e+04,-2.493788e+04,3.524415e+04,-45.0380
2.015338e-02,1.266274e-01,2.215705e+04,-2.218589e+04,3.135520e+04,-45.0373
2.545641e-02,1.599473e-01,1.971258e+04,-1.973734e+04,2.789531e+04,-45.0360
3.215484e-02,2.020348e-01,1.753800e+04,-1.755877e+04,2.481716e+04,-45.0339
4.061586e-02,2.551970e-01,1.560355e+04,-1.562042e+04,2.207869e+04,-45.0310
5.130326e-02,3.223479e-01,1.388275e+04,-1.389583e+04,1.964242e+04,-45.0270
6.480286e-02,4.071684e-01,1.235204e+04,-1.236141e+04,1.747505e+04,-45.0217
8.185467e-02,5.143081e-01,1.099045e+04,-1.099622e+04,1.554693e+04,-45.0150
1.033934e-01,6.496398e-01,9.779337e+03,-9.781598e+03,1.383167e+04,-45.0066
1.305997e-01,8.205818e-01,8.702093e+03,-8.700947e+03,1.230581e+04,-44.9962
1.649648e-01,1.036504e+00,7.743952e+03,-7.739503e+03,1.094846e+04,-44.9835
2.083726e-01,1.309244e+00,6.891774e+03,-6.884128e+03,9.741035e+03,-44.9682
2.632024e-01,1.653749e+00,6.133865e+03,-6.123131e+03,8.667009e+03,-44.9498
3.324598e-01,2.088906e+00,5.459822e+03,-5.446114e+03,7.711668e+03,-44.9280
4.199411e-01,2.638568e+00,4.860388e+03,-4.843823e+03,6.861923e+03,-44.9022
5.304417e-01,3.332864e+00,4.327324e+03,-4.308023e+03,6.106128e+03,-44.8719
6.700188e-01,4.209852e+00,3.853299e+03,-3.831392e+03,5.433919e+03,-44.8367
8.463232e-01,5.317605e+00,3.431792e+03,-3.407411e+03,4.836077e+03,-44.7957
1.069019e+00,6.716846e+00,3.056997e+03,-3.030283e+03,4.304398e+03,-44.7486
1.350314e+00,8.484273e+00,2.723748e+03,-2.694849e+03,3.831581e+03,-44.6944
1.705627e+00,1.071677e+01,2.427448e+03,-2.396520e+03,3.411130e+03,-44.6327
2.154435e+00,1.353671e+01,2.164005e+03,-2.131213e+03,3.037266e+03,-44.5626
2.721339e+00,1.709868e+01,1.929778e+03,-1.895296e+03,2.704846e+03,-44.4835
3.437414e+00,2.159791e+01,1.721524e+03,-1.685538e+03,2.409291e+03,-44.3948
4.341913e+00,2.728105e+01,1.536358e+03,-1.499063e+03,2.146529e+03,-44.2961
5.484417e+00,3.445961e+01,1.371710e+03,-1.333315e+03,1.912934e+03,-44.1868
6.927551e+00,4.352708e+01,1.225291e+03,-1.186018e+03,1.705280e+03,-44.0669
8.750422e+00,5.498052e+01,1.095065e+03,-1.055147e+03,1.520691e+03,-43.9365
1.105295e+01,6.944774e+01,9.792147e+02,-9.389004e+02,1.356612e+03,-43.7960
1.396135e+01,8.772177e+01,8.761235e+02,-8.356740e+02,1.210762e+03,-43.6464
1.763505e+01,1.108043e+02,7.843494e+02,-7.440399e+02,1.081110e+03,-43.4892
2.227543e+01,1.399607e+02,7.026072e+02,-6.627256e+02,9.658479e+02,-43.3269
2.813684e+01,1.767890e+02,6.297506e+02,-5.905963e+02,8.633596e+02,-43.1623
3.554059e+01,2.233081e+02,5.647572e+02,-5.266389e+02,7.722041e+02,-42.9997
