f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.195025e+03,-9.974354e+02,1.556586e+03,-39.8503
1.263134e-02,7.936502e-02,1.085073e+03,-8.874886e+02,1.401792e+03,-39.2800
1.595506e-02,1.002486e-01,9.872417e+02,-7.896629e+02,1.264205e+03,-38.6552
2.015338e-02,1.266274e-01,9.001938e+02,-7.026223e+02,1.141940e+03,-37.9729
2.545641e-02,1.599473e-01,8.227409e+02,-6.251779e+02,1.033320e+03,-37.2302
3.215484e-02,2.020348e-01,7.538250e+02,-5.562722e+02,9.368516e+02,-36.4248
4.061586e-02,2.551970e-01,6.925049e+02,-4.949641e+02,8.512065e+02,-35.5551
5.130326e-02,3.223479e-01,6.379431e+02,-4.404164e+02,7.752019e+02,-34.6200
6.480286e-02,4.071684e-01,5.893945e+02,-3.918841e+02,7.077846e+02,-33.6196
8.185467e-02,5.143081e-01,5.461958e+02,-3.487045e+02,6.480160e+02,-32.5551
1.033934e-01,6.496398e-01,5.077572e+02,-3.102880e+02,5.950596e+02,-31.4289
1.305997e-01,8.205818e-01,4.735535e+02,-2.761099e+02,5.481694e+02,-30.2447
1.649648e-01,1.036504e+00,4.431178e+02,-2.457038e+02,5.066791e+02,-29.0079
2.083726e-01,1.309244e+00,4.160342e+02,-2.186545e+02,4.699939e+02,-27.7250
2.632024e-01,1.653749e+00,3.919328e+02,-1.945928e+02,4.375817e+02,-26.4042
3.324598e-01,2.088906e+00,3.704845e+02,-1.731906e+02,4.089667e+02,-25.0547
4.199411e-01,2.638568e+00,3.513963e+02,-1.541558e+02,3.837230e+02,-23.6868
5.304417e-01,3.332864e+00,3.344073e+02,-1.372290e+02,3.614693e+02,-22.3115
6.700188e-01,4.209852e+00,3.192857e+02,-1.221798e+02,3.418644e+02,-20.9402
8.463232e-01,5.317605e+00,3.058247e+02,-1.088033e+02,3.246027e+02,-19.5840
1.069019e+00,6.716846e+00,2.938404e+02,-9.691801e+01,3.094112e+02,-18.2542
1.350314e+00,8.484273e+00,2.831690e+02,-8.636276e+01,2.960460e+02,-16.9610
1.705627e+00,1.071677e+01,2.736646e+02,-7.699502e+01,2.842896e+02,-15.7138
2.154435e+00,1.353671e+01,2.651972e+02,-6.868884e+01,2.739484e+02,-14.5211
2.721339e+00,1.709868e+01,2.576508e+02,-6.133323e+01,2.648503e+02,-13.3899
3.437414e+00,2.159791e+01,2.509219e+02,-5.483081e+01,2.568428e+02,-12.3264
4.341913e+00,2.728105e+01,2.449180e+02,-4.909657e+01,2.497905e+02,-11.3353
5.484417e+00,3.445961e+01,2.395564e+02,-4.405691e+01,2.435740e+02,-10.4208
6.927551e+00,4.352708e+01,2.347627e+02,-3.964880e+01,2.380873e+02,-9.5862
8.750422e+00,5.498052e+01,2.304701e+02,-3.581925e+01,2.332369e+02,-8.8341
1.105295e+01,6.944774e+01,2.266177e+02,-3.252480e+01,2.289398e+02,-8.1675
1.396135e+01,8.772177e+01,2.231502e+02,-2.973133e+01,2.251221e+02,-7.5891
1.763505e+01,1.108043e+02,2.200162e+02,-2.741400e+01,2.217175e+02,-7.1024
2.227543e+01,1.399607e+02,2.171672e+02,-2.555736e+01,2.186659e+02,-6.7120
2.813684e+01,1.767890e+02,2.145562e+02,-2.415571e+01,2.159117e+02,-6.4236
3.554059e+01,2.233081e+02,2.121363e+02,-2.321345e+01,2.134026e+02,-6.2449
4.489251e+01,2.820680e+02,2.098579e+02,-2.274568e+01,2.110870e+02,-6.1859
5.670524e+01,3.562895e+02,2.076666e+02,-2.277858e+01,2.089121e+02,-6.2596
7.162629e+01,4.500413e+02,2.054988e+02,-2.334952e+01,2.068211e+02,-6.4824
9.047357e+01,5.684622e+02,2.032769e+02,-2.450633e+01,2.047488e+02,-6.8742
1.142802e+02,7.180437e+02,2.009025e+02,-2.630486e+01,2.026172e+02,-7.4595
1.443512e+02,9.069851e+02,1.982476e+02,-2.880361e+01,2.003291e+02,-8.2667
1.823348e+02,1.145643e+03,1.951451e+02,-3.205306e+01,1.977600e+02,-9.3277
2.303132e+02,1.447101e+03,1.913793e+02,-3.607712e+01,1.947501e+02,-10.6756
2.909163e+02,1.827881e+03,1.866812e+02,-4.084326e+01,1.910969e+02,-12.3411
3.674662e+02,2.308858e+03,1.807379e+02,-4.622029e+01,1.865543e+02,-14.3449
4.641589e+02,2.916396e+03,1.732293e+02,-5.192837e+01,1.808451e+02,-16.6870
5.862947e+02,3.683798e+03,1.639048e+02,-5.749970e+01,1.736980e+02,-19.3315
7.405685e+02,4.653129e+03,1.527024e+02,-6.228540e+01,1.649167e+02,-22.1899
9.354369e+02,5.877523e+03,1.398757e+02,-6.555046e+01,1.544735e+02,-25.1094
1.181582e+03,7.424097e+03,1.260510e+02,-6.666605e+01,1.425946e+02,-27.8735
