f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.718609e+03,-3.504589e+03,5.109814e+03,-43.3028
1.263134e-02,7.936502e-02,3.332282e+03,-3.118260e+03,4.563732e+03,-43.0997
1.595506e-02,1.002486e-01,2.988543e+03,-2.774518e+03,4.077909e+03,-42.8732
2.015338e-02,1.266274e-01,2.682695e+03,-2.468670e+03,3.645707e+03,-42.6209
2.545641e-02,1.599473e-01,2.410562e+03,-2.196536e+03,3.261224e+03,-42.3402
3.215484e-02,2.020348e-01,2.168428e+03,-1.954403e+03,2.919207e+03,-42.0283
4.061586e-02,2.551970e-01,1.952986e+03,-1.738961e+03,2.614984e+03,-41.6822
5.130326e-02,3.223479e-01,1.761293e+03,-1.547269e+03,2.344396e+03,-41.2988
6.480286e-02,4.071684e-01,1.590731e+03,-1.376709e+03,2.103747e+03,-40.8748
8.185467e-02,5.143081e-01,1.438970e+03,-1.224951e+03,1.889746e+03,-40.4067
1.033934e-01,6.496398e-01,1.303938e+03,-1.089924e+03,1.699467e+03,-39.8913
1.305997e-01,8.205818e-01,1.183792e+03,-9.697817e+02,1.530307e+03,-39.3249
1.649648e-01,1.036504e+00,1.076888e+03,-8.628848e+02,1.379949e+03,-38.7044
2.083726e-01,1.309244e+00,9.817690e+02,-7.677729e+02,1.246333e+03,-38.0265
2.632024e-01,1.653749e+00,8.971342e+02,-6.831472e+02,1.127626e+03,-37.2884
3.324598e-01,2.088906e+00,8.218280e+02,-6.078518e+02,1.022196e+03,-36.4879
4.199411e-01,2.638568e+00,7.548221e+02,-5.408585e+02,9.285926e+02,-35.6230
5.304417e-01,3.332864e+00,6.952012e+02,-4.812523e+02,8.455226e+02,-34.6929
6.700188e-01,4.209852e+00,6.421510e+02,-4.282193e+02,7.718352e+02,-33.6974
8.463232e-01,5.317605e+00,5.949470e+02,-3.810352e+02,7.065053e+02,-32.6376
1.069019e+00,6.716846e+00,5.529444e+02,-3.390558e+02,6.486188e+02,-31.5159
1.350314e+00,8.484273e+00,5.155696e+02,-3.017079e+02,5.973606e+02,-30.3359
1.705627e+00,1.071677e+01,4.823121e+02,-2.684815e+02,5.520030e+02,-29.1027
2.154435e+00,1.353671e+01,4.527177e+02,-2.389231e+02,5.118961e+02,-27.8230
2.721339e+00,1.709868e+01,4.263822e+02,-2.126292e+02,4.764588e+02,-26.5046
3.437414e+00,2.159791e+01,4.029458e+02,-1.892411e+02,4.451714e+02,-25.1568
4.341913e+00,2.728105e+01,3.820885e+02,-1.684399e+02,4.175687e+02,-23.7898
5.484417e+00,3.445961e+01,3.635253e+02,-1.499419e+02,3.932343e+02,-22.4145
6.927551e+00,4.352708e+01,3.470026e+02,-1.334953e+02,3.717954e+02,-21.0422
8.750422e+00,5.498052e+01,3.322947e+02,-1.188762e+02,3.529183e+02,-19.6843
1.105295e+01,6.944774e+01,3.192007e+02,-1.058862e+02,3.363049e+02,-18.3519
1.396135e+01,8.772177e+01,3.075416e+02,-9.434906e+01,3.216886e+02,-17.0552
1.763505e+01,1.108043e+02,2.971579e+02,-8.410903e+01,3.088319e+02,-15.8039
2.227543e+01,1.399607e+02,2.879076e+02,-7.502833e+01,2.975231e+02,-14.6063
2.813684e+01,1.767890e+02,2.796640e+02,-6.698555e+01,2.875744e+02,-13.4698
3.554059e+01,2.233081e+02,2.723141e+02,-5.987411e+01,2.788188e+02,-12.4004
4.489251e+01,2.820680e+02,2.657570e+02,-5.360092e+01,2.711086e+02,-11.4031
5.670524e+01,3.562895e+02,2.599022e+02,-4.808529e+01,2.643130e+02,-10.4819
7.162629e+01,4.500413e+02,2.546687e+02,-4.325810e+01,2.583165e+02,-9.6403
9.047357e+01,5.684622e+02,2.499835e+02,-3.906106e+01,2.530168e+02,-8.8809
1.142802e+02,7.180437e+02,2.457804e+02,-3.544626e+01,2.483232e+02,-8.2066
1.443512e+02,9.069851e+02,2.419991e+02,-3.237590e+01,2.441552e+02,-7.6201
1.823348e+02,1.145643e+03,2.385838e+02,-2.982223e+01,2.404404e+02,-7.1248
2.303132e+02,1.447101e+03,2.354820e+02,-2.776767e+01,2.371135e+02,-6.7252
2.909163e+02,1.827881e+03,2.326432e+02,-2.620514e+01,2.341145e+02,-6.4268
3.674662e+02,2.308858e+03,2.300169e+02,-2.513855e+01,2.313865e+02,-6.2371
4.641589e+02,2.916396e+03,2.275504e+02,-2.458337e+01,2.288744e+02,-6.1660
5.862947e+02,3.683798e+03,2.251859e+02,-2.456723e+01,2.265221e+02,-6.2262
7.405685e+02,4.653129e+03,2.228569e+02,-2.513012e+01,2.242693e+02,-6.4337
9.354369e+02,5.877523e+03,2.204822e+02,-2.632389e+01,2.220481e+02,-6.8084
1.181582e+03,7.424097e+03,2.179592e+02,-2.821015e+01,2.197772e+02,-7.3747
1.492496e+03,9.377626e+03,2.151549e+02,-3.085520e+01,2.173561e+02,-8.1611
1.885221e+03,1.184519e+04,2.118950e+02,-3.431979e+01,2.146563e+02,-9.2001
2.381286e+03,1.496206e+04,2.079528e+02,-3.864076e+01,2.115124e+02,-10.5264
3.007883e+03,1.889908e+04,2.030425e+02,-4.380095e+01,2.077132e+02,-12.1735
3.799357e+03,2.387207e+04,1.968249e+02,-4.968508e+01,2.029991e+02,-14.1674
4.799096e+03,3.015361e+04,1.889391e+02,-5.602479e+01,1.970705e+02,-16.5163
6.061899e+03,3.808803e+04,1.790778e+02,-6.234920e+01,1.896214e+02,-19.1965
7.656988e+03,4.811028e+04,1.671105e+02,-6.797632e+01,1.804070e+02,-22.1353
9.671799e+03,6.076970e+04,1.532293e+02,-7.209351e+01,1.693420e+02,-25.1967
1.221677e+04,7.676025e+04,1.380399e+02,-7.395044e+01,1.566004e+02,-28.1787
1.543142e+04,9.695845e+04,1.225033e+02,-7.311104e+01,1.426614e+02,-30.8291
1.949194e+04,1.224715e+05,1.077033e+02,-6.962947e+01,1.282508e+02,-32.8824
2.462092e+04,1.546978e+05,9.454363e+01,-6.403075e+01,1.141860e+02,-34.1083
3.109952e+04,1.954040e+05,8.354112e+01,-5.710783e+01,1.011950e+02,-34.3561
3.928284e+04,2.468214e+05,7.479975e+01,-4.966714e+01,8.978768e+01,-33.5842
4.961948e+04,3.117684e+05,6.812327e+01,-4.235101e+01,8.021464e+01,-31.8685
6.267603e+04,3.938051e+05,6.316654e+01,-3.557638e+01,7.249614e+01,-29.3889
7.916819e+04,4.974284e+05,5.955504e+01,-2.955696e+01,6.648621e+01,-26.3950
1.000000e+05,6.283185e+05,5.695232e+01,-2.435942e+01,6.194310e+01,-23.1572
