f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.147149e+04,-9.974660e+03,1.520161e+04,-41.0075
1.263134e-02,7.936502e-02,1.037200e+04,-8.875638e+03,1.365120e+04,-40.5546
1.595506e-02,1.002486e-01,9.393661e+03,-7.897874e+03,1.227262e+04,-40.0560
2.015338e-02,1.266274e-01,8.523099e+03,-7.028014e+03,1.104700e+04,-39.5085
2.545641e-02,1.599473e-01,7.748421e+03,-6.254180e+03,9.957550e+03,-38.9089
3.215484e-02,2.020348e-01,7.059044e+03,-5.565805e+03,8.989343e+03,-38.2545
4.061586e-02,2.551970e-01,6.445548e+03,-4.953490e+03,8.129092e+03,-37.5428
5.130326e-02,3.223479e-01,5.899550e+03,-4.408874e+03,7.364975e+03,-36.7716
6.480286e-02,4.071684e-01,5.413590e+03,-3.924526e+03,6.686468e+03,-35.9398
8.185467e-02,5.143081e-01,4.981026e+03,-3.493836e+03,6.084202e+03,-35.0469
1.033934e-01,6.496398e-01,4.595949e+03,-3.110931e+03,5.549832e+03,-34.0935
1.305997e-01,8.205818e-01,4.253094e+03,-2.770591e+03,5.075922e+03,-33.0814
1.649648e-01,1.036504e+00,3.947775e+03,-2.468183e+03,4.655841e+03,-32.0140
2.083726e-01,1.309244e+00,3.675818e+03,-2.199593e+03,4.283672e+03,-30.8961
2.632024e-01,1.653749e+00,3.433504e+03,-1.961178e+03,3.954133e+03,-29.7345
3.324598e-01,2.088906e+00,3.217517e+03,-1.749708e+03,3.662499e+03,-28.5376
4.199411e-01,2.638568e+00,3.024900e+03,-1.562331e+03,3.404541e+03,-27.3159
5.304417e-01,3.332864e+00,2.853013e+03,-1.396534e+03,3.176474e+03,-26.0815
6.700188e-01,4.209852e+00,2.699493e+03,-1.250106e+03,2.974899e+03,-24.8483
8.463232e-01,5.317605e+00,2.562225e+03,-1.121116e+03,2.796766e+03,-23.6320
1.069019e+00,6.716846e+00,2.439310e+03,-1.007886e+03,2.639331e+03,-22.4497
1.350314e+00,8.484273e+00,2.329031e+03,-9.089724e+02,2.500123e+03,-21.3197
1.705627e+00,1.071677e+01,2.229832e+03,-8.231477e+02,2.376914e+03,-20.2617
2.154435e+00,1.353671e+01,2.140284e+03,-7.493879e+02,2.267685e+03,-19.2969
2.721339e+00,1.709868e+01,2.059060e+03,-6.868611e+02,2.170601e+03,-18.4477
3.437414e+00,2.159791e+01,1.984905e+03,-6.349170e+02,2.083979e+03,-17.7381
4.341913e+00,2.728105e+01,1.916597e+03,-5.930769e+02,2.006261e+03,-17.1943
5.484417e+00,3.445961e+01,1.852907e+03,-5.610200e+02,1.935977e+03,-16.8452
6.927551e+00,4.352708e+01,1.792550e+03,-5.385629e+02,1.871707e+03,-16.7226
8.750422e+00,5.498052e+01,1.734125e+03,-5.256244e+02,1.812035e+03,-16.8624
1.105295e+01,6.944774e+01,1.676041e+03,-5.221654e+02,1.755497e+03,-17.3043
1.396135e+01,8.772177e+01,1.616446e+03,-5.280872e+02,1.700522e+03,-18.0920
1.763505e+01,1.108043e+02,1.553164e+03,-5.430698e+02,1.645370e+03,-19.2724
2.227543e+01,1.399607e+02,1.483674e+03,-5.663292e+02,1.588086e+03,-20.8922
2.813684e+01,1.767890e+02,1.405211e+03,-5.962914e+02,1.526493e+03,-22.9936
3.554059e+01,2.233081e+02,1.315064e+03,-6.302244e+02,1.458279e+03,-25.6054
4.489251e+01,2.820680e+02,1.211172e+03,-6.639619e+02,1.381225e+03,-28.7315
5.670524e+01,3.562895e+02,1.093015e+03,-6.919695e+02,1.293640e+03,-32.3372
7.162629e+01,4.500413e+02,9.625740e+02,-7.080458e+02,1.194938e+03,-36.3373
9.047357e+01,5.684622e+02,8.248202e+02,-7.067517e+02,1.086198e+03,-40.5918
1.142802e+02,7.180437e+02,6.871599e+02,-6.851491e+02,9.703701e+02,-44.9160
1.443512e+02,9.069851e+02,5.577202e+02,-6.439493e+02,8.518935e+02,-49.1044
1.823348e+02,1.145643e+03,4.432004e+02,-5.873090e+02,7.357707e+02,-52.9607
2.303132e+02,1.447101e+03,3.473916e+02,-5.213631e+02,6.264985e+02,-56.3239
2.909163e+02,1.827881e+03,2.709612e+02,-4.523712e+02,5.273137e+02,-59.0792
3.674662e+02,2.308858e+03,2.122469e+02,-3.853715e+02,4.399545e+02,-61.1558
4.641589e+02,2.916396e+03,1.683824e+02,-3.236679e+02,3.648473e+02,-62.5151
5.862947e+02,3.683798e+03,1.362295e+02,-2.689550e+02,3.014885e+02,-63.1371
7.405685e+02,4.653129e+03,1.129325e+02,-2.217332e+02,2.488360e+02,-63.0095
9.354369e+02,5.877523e+03,9.614585e+01,-1.817503e+02,2.056142e+02,-62.1212
1.181582e+03,7.424097e+03,8.406078e+01,-1.483532e+02,1.705136e+02,-60.4630
1.492496e+03,9.377626e+03,7.533700e+01,-1.207243e+02,1.423026e+02,-58.0341
1.885221e+03,1.184519e+04,6.900602e+01,-9.802311e+01,1.198764e+02,-54.8553
2.381286e+03,1.496206e+04,6.437851e+01,-7.946146e+01,1.022679e+02,-50.9861
3.007883e+03,1.889908e+04,6.096778e+01,-6.433763e+01,8.863634e+01,-46.5405
3.799357e+03,2.387207e+04,5.843125e+01,-5.204609e+01,7.824964e+01,-41.6922
4.799096e+03,3.015361e+04,5.652754e+01,-4.207487e+01,7.046742e+01,-36.6612
6.061899e+03,3.808803e+04,5.508593e+01,-3.399697e+01,6.473216e+01,-31.6813
7.656988e+03,4.811028e+04,5.398494e+01,-2.745948e+01,6.056729e+01,-26.9602
9.671799e+03,6.076970e+04,5.313748e+01,-2.217267e+01,5.757793e+01,-22.6493
1.221677e+04,7.676025e+04,5.248052e+01,-1.789971e+01,5.544911e+01,-18.8331
1.543142e+04,9.695845e+04,5.196803e+01,-1.444768e+01,5.393896e+01,-15.5365
1.949194e+04,1.224715e+05,5.156604e+01,-1.165981e+01,5.286783e+01,-12.7411
2.462092e+04,1.546978e+05,5.124923e+01,-9.408887e+00,5.210576e+01,-10.4031
3.109952e+04,1.954040e+05,5.099855e+01,-7.591866e+00,5.156053e+01,-8.4671
3.928284e+04,2.468214e+05,5.079951e+01,-6.125335e+00,5.116747e+01,-6.8755
4.961948e+04,3.117684e+05,5.064103e+01,-4.941836e+00,5.088159e+01,-5.5736
6.267603e+04,3.938051e+05,5.051455e+01,-3.986837e+00,5.067163e+01,-4.5127
7.916819e+04,4.974284e+05,5.041340e+01,-3.216282e+00,5.051589e+01,-3.6504
1.000000e+05,6.283185e+05,5.033239e+01,-2.594586e+00,5.039922e+01,-2.9509
