f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.278375e+04,-3.151744e+04,4.547662e+04,-43.8718
1.263134e-02,7.936502e-02,2.931047e+04,-2.804223e+04,4.056439e+04,-43.7332
1.595506e-02,1.002486e-01,2.622023e+04,-2.495040e+04,3.619424e+04,-43.5785
2.015338e-02,1.266274e-01,2.347078e+04,-2.219974e+04,3.230644e+04,-43.4058
2.545641e-02,1.599473e-01,2.102450e+04,-1.975266e+04,2.884783e+04,-43.2135
3.215484e-02,2.020348e-01,1.884793e+04,-1.757573e+04,2.577112e+04,-42.9996
4.061586e-02,2.551970e-01,1.691128e+04,-1.563920e+04,2.303423e+04,-42.7620
5.130326e-02,3.223479e-01,1.518805e+04,-1.391662e+04,2.059974e+04,-42.4987
6.480286e-02,4.071684e-01,1.365465e+04,-1.238446e+04,1.843433e+04,-42.2073
8.185467e-02,5.143081e-01,1.229010e+04,-1.102178e+04,1.650837e+04,-41.8858
1.033934e-01,6.496398e-01,1.107571e+04,-9.809957e+03,1.479549e+04,-41.5319
1.305997e-01,8.205818e-01,9.994847e+03,-8.732436e+03,1.327224e+04,-41.1435
1.649648e-01,1.036504e+00,9.032703e+03,-7.774492e+03,1.191774e+04,-40.7187
2.083726e-01,1.309244e+00,8.176095e+03,-6.923038e+03,1.071340e+04,-40.2560
2.632024e-01,1.653749e+00,7.413284e+03,-6.166441e+03,9.642706e+03,-39.7540
3.324598e-01,2.088906e+00,6.733809e+03,-5.494366e+03,8.690929e+03,-39.2123
4.199411e-01,2.638568e+00,6.128352e+03,-4.897636e+03,7.844968e+03,-38.6310
5.304417e-01,3.332864e+00,5.588602e+03,-4.368103e+03,7.093151e+03,-38.0115
6.700188e-01,4.209852e+00,5.107146e+03,-3.898543e+03,6.425074e+03,-37.3563
8.463232e-01,5.317605e+00,4.677364e+03,-3.482554e+03,5.831460e+03,-36.6697
1.069019e+00,6.716846e+00,4.293339e+03,-3.114470e+03,5.304025e+03,-35.9578
1.350314e+00,8.484273e+00,3.949770e+03,-2.789280e+03,4.835366e+03,-35.2293
1.705627e+00,1.071677e+01,3.641898e+03,-2.502566e+03,4.418853e+03,-34.4953
2.154435e+00,1.353671e+01,3.365437e+03,-2.250433e+03,4.048533e+03,-33.7702
2.721339e+00,1.709868e+01,3.116507e+03,-2.029456e+03,3.719047e+03,-33.0720
3.437414e+00,2.159791e+01,2.891574e+03,-1.836625e+03,3.425550e+03,-32.4223
4.341913e+00,2.728105e+01,2.687391e+03,-1.669295e+03,3.163640e+03,-31.8468
5.484417e+00,3.445961e+01,2.500939e+03,-1.525130e+03,2.929286e+03,-31.3758
6.927551e+00,4.352708e+01,2.329374e+03,-1.402045e+03,2.718771e+03,-31.0436
8.750422e+00,5.498052e+01,2.169974e+03,-1.298135e+03,2.528625e+03,-30.8890
1.105295e+01,6.944774e+01,2.020096e+03,-1.211589e+03,2.355575e+03,-30.9540
1.396135e+01,8.772177e+01,1.877143e+03,-1.140583e+03,2.196496e+03,-31.2836
1.763505e+01,1.108043e+02,1.738574e+03,-1.083141e+03,2.048373e+03,-31.9231
2.227543e+01,1.399607e+02,1.601960e+03,-1.036981e+03,1.908299e+03,-32.9158
2.813684e+01,1.767890e+02,1.465132e+03,-9.993571e+02,1.773507e+03,-34.2976
3.554059e+01,2.233081e+02,1.326444e+03,-9.669499e+02,1.641476e+03,-36.0913
4.489251e+01,2.820680e+02,1.185140e+03,-9.358980e+02,1.510120e+03,-38.2979
5.670524e+01,3.562895e+02,1.041775e+03,-9.020681e+02,1.378050e+03,-40.8891
7.162629e+01,4.500413e+02,8.984942e+02,-8.616295e+02,1.244868e+03,-43.8002
9.047357e+01,5.684622e+02,7.589543e+02,-8.118529e+02,1.111358e+03,-46.9288
1.142802e+02,7.180437e+02,6.277238e+02,-7.518540e+02,9.794496e+02,-50.1415
1.443512e+02,9.069851e+02,5.092554e+02,-6.829006e+02,8.518769e+02,-53.2872
1.823348e+02,1.145643e+03,4.068206e+02,-6.080570e+02,7.315985e+02,-56.2155
2.303132e+02,1.447101e+03,3.218629e+02,-5.312955e+02,6.211848e+02,-58.7922
2.909163e+02,1.827881e+03,2.539810e+02,-4.564885e+02,5.223870e+02,-60.9093
3.674662e+02,2.308858e+03,2.014089e+02,-3.866789e+02,4.359886e+02,-62.4864
4.641589e+02,2.916396e+03,1.616744e+02,-3.237855e+02,3.619056e+02,-63.4659
5.862947e+02,3.683798e+03,1.321693e+02,-2.686684e+02,2.994184e+02,-63.8055
7.405685e+02,4.653129e+03,1.105132e+02,-2.213791e+02,2.474306e+02,-63.4715
9.354369e+02,5.877523e+03,9.471985e+01,-1.814487e+02,2.046838e+02,-62.4345
1.181582e+03,7.424097e+03,8.322633e+01,-1.481299e+02,1.699091e+02,-60.6707
1.492496e+03,9.377626e+03,7.485101e+01,-1.205709e+02,1.419155e+02,-58.1678
1.885221e+03,1.184519e+04,6.872383e+01,-9.792237e+01,1.196318e+02,-54.9381
2.381286e+03,1.496206e+04,6.421495e+01,-7.939732e+01,1.021151e+02,-51.0348
3.007883e+03,1.889908e+04,6.087308e+01,-6.429765e+01,8.854219e+01,-46.5672
3.799357e+03,2.387207e+04,5.837645e+01,-5.202156e+01,7.819241e+01,-41.7055
4.799096e+03,3.015361e+04,5.649584e+01,-4.206000e+01,7.043311e+01,-36.6669
6.061899e+03,3.808803e+04,5.506759e+01,-3.398802e+01,6.471186e+01,-31.6831
7.656988e+03,4.811028e+04,5.397433e+01,-2.745414e+01,6.055541e+01,-26.9602
9.671799e+03,6.076970e+04,5.313134e+01,-2.216950e+01,5.757105e+01,-22.6487
1.221677e+04,7.676025e+04,5.247697e+01,-1.789784e+01,5.544515e+01,-18.8325
1.543142e+04,9.695845e+04,5.196597e+01,-1.444658e+01,5.393669e+01,-15.5360
1.949194e+04,1.224715e+05,5.156485e+01,-1.165916e+01,5.286653e+01,-12.7407
2.462092e+04,1.546978e+05,5.124854e+01,-9.408507e+00,5.210502e+01,-10.4029
3.109952e+04,1.954040e+05,5.099815e+01,-7.591644e+00,5.156010e+01,-8.4669
3.928284e+04,2.468214e+05,5.079928e+01,-6.125206e+00,5.116722e+01,-6.8753
4.961948e+04,3.117684e+05,5.064090e+01,-4.941760e+00,5.088144e+01,-5.5735
6.267603e+04,3.938051e+05,5.051447e+01,-3.986793e+00,5.067155e+01,-4.5126
7.916819e+04,4.974284e+05,5.041336e+01,-3.216256e+00,5.051585e+01,-3.6504
1.000000e+05,6.283185e+05,5.033236e+01,-2.594571e+00,5.039919e+01,-2.9509
