f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,2.526487e+03,-9.974937e+02,2.716271e+03,-21.5448
1.263134e-02,7.936502e-02,2.416530e+03,-8.875528e+02,2.574367e+03,-20.1675
1.595506e-02,1.002486e-01,2.318693e+03,-7.897346e+02,2.449493e+03,-18.8086
2.015338e-02,1.266274e-01,2.231640e+03,-7.027034e+02,2.339660e+03,-17.4783
2.545641e-02,1.599473e-01,2.154181e+03,-6.252709e+02,2.243091e+03,-16.1859
3.215484e-02,2.020348e-01,2.085259e+03,-5.563801e+02,2.158208e+03,-14.9394
4.061586e-02,2.551970e-01,2.023932e+03,-4.950905e+02,2.083606e+03,-13.7457
5.130326e-02,3.223479e-01,1.969363e+03,-4.405659e+02,2.018041e+03,-12.6100
6.480286e-02,4.071684e-01,1.920807e+03,-3.920623e+02,1.960411e+03,-11.5364
8.185467e-02,5.143081e-01,1.877600e+03,-3.489185e+02,1.909744e+03,-10.5273
1.033934e-01,6.496398e-01,1.839151e+03,-3.105465e+02,1.865185e+03,-9.5842
1.305997e-01,8.205818e-01,1.804937e+03,-2.764237e+02,1.825981e+03,-8.7071
1.649648e-01,1.036504e+00,1.774489e+03,-2.460863e+02,1.791471e+03,-7.8954
2.083726e-01,1.309244e+00,1.747390e+03,-2.191222e+02,1.761076e+03,-7.1476
2.632024e-01,1.653749e+00,1.723272e+03,-1.951663e+02,1.734288e+03,-6.4614
3.324598e-01,2.088906e+00,1.701803e+03,-1.738953e+02,1.710665e+03,-5.8344
4.199411e-01,2.638568e+00,1.682691e+03,-1.550234e+02,1.689817e+03,-5.2637
5.304417e-01,3.332864e+00,1.665673e+03,-1.382986e+02,1.671404e+03,-4.7463
6.700188e-01,4.209852e+00,1.650515e+03,-1.234999e+02,1.655129e+03,-4.2792
8.463232e-01,5.317605e+00,1.637011e+03,-1.104340e+02,1.640732e+03,-3.8594
1.069019e+00,6.716846e+00,1.624974e+03,-9.893384e+01,1.627983e+03,-3.4841
1.350314e+00,8.484273e+00,1.614237e+03,-8.885607e+01,1.616681e+03,-3.1507
1.705627e+00,1.071677e+01,1.604653e+03,-8.008027e+01,1.606649e+03,-2.8570
2.154435e+00,1.353671e+01,1.596085e+03,-7.250785e+01,1.597732e+03,-2.6011
2.721339e+00,1.709868e+01,1.588415e+03,-6.606172e+01,1.589788e+03,-2.3815
3.437414e+00,2.159791e+01,1.581532e+03,-6.068645e+01,1.582696e+03,-2.1975
4.341913e+00,2.728105e+01,1.575334e+03,-5.634897e+01,1.576342e+03,-2.0486
5.484417e+00,3.445961e+01,1.569730e+03,-5.303991e+01,1.570626e+03,-1.9352
6.927551e+00,4.352708e+01,1.564629e+03,-5.077569e+01,1.565453e+03,-1.8587
8.750422e+00,5.498052e+01,1.559948e+03,-4.960141e+01,1.560736e+03,-1.8212
1.105295e+01,6.944774e+01,1.555600e+03,-4.959470e+01,1.556390e+03,-1.8261
1.396135e+01,8.772177e+01,1.551496e+03,-5.087065e+01,1.552330e+03,-1.8779
1.763505e+01,1.108043e+02,1.547540e+03,-5.358796e+01,1.548468e+03,-1.9832
2.227543e+01,1.399607e+02,1.543621e+03,-5.795640e+01,1.544709e+03,-2.1502
2.813684e+01,1.767890e+02,1.539605e+03,-6.424562e+01,1.540945e+03,-2.3895
3.554059e+01,2.233081e+02,1.535324e+03,-7.279512e+01,1.537049e+03,-2.7146
4.489251e+01,2.820680e+02,1.530556e+03,-8.402481e+01,1.532861e+03,-3.1423
5.670524e+01,3.562895e+02,1.525002e+03,-9.844509e+01,1.528177e+03,-3.6936
7.162629e+01,4.500413e+02,1.518250e+03,-1.166637e+02,1.522726e+03,-4.3940
9.047357e+01,5.684622e+02,1.509723e+03,-1.393850e+02,1.516144e+03,-5.2749
1.142802e+02,7.180437e+02,1.498612e+03,-1.673928e+02,1.507931e+03,-6.3734
1.443512e+02,9.069851e+02,1.483783e+03,-2.015029e+02,1.497403e+03,-7.7337
1.823348e+02,1.145643e+03,1.463674e+03,-2.424634e+02,1.483621e+03,-9.4059
2.303132e+02,1.447101e+03,1.436179e+03,-2.907687e+02,1.465318e+03,-11.4454
2.909163e+02,1.827881e+03,1.398585e+03,-3.463534e+02,1.440833e+03,-13.9092
3.674662e+02,2.308858e+03,1.347635e+03,-4.081405e+02,1.408084e+03,-16.8493
4.641589e+02,2.916396e+03,1.279884e+03,-4.734871e+02,1.364659e+03,-20.3017
5.862947e+02,3.683798e+03,1.192492e+03,-5.377097e+02,1.308117e+03,-24.2712
7.405685e+02,4.653129e+03,1.084507e+03,-5.940789e+02,1.236562e+03,-28.7134
9.354369e+02,5.877523e+03,9.582921e+02,-6.347651e+02,1.149457e+03,-33.5202
1.181582e+03,7.424097e+03,8.202614e+02,-6.528932e+02,1.048379e+03,-38.5183
1.492496e+03,9.377626e+03,6.800065e+02,-6.450028e+02,9.372500e+02,-43.4867
1.885221e+03,1.184519e+04,5.477861e+02,-6.124881e+02,8.217124e+02,-48.1918
2.381286e+03,1.496206e+04,4.316320e+02,-5.610071e+02,7.078384e+02,-52.4258
3.007883e+03,1.889908e+04,3.356735e+02,-4.982849e+02,6.008032e+02,-56.0335
