f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,2.473862e+04,-1.003611e+04,2.669687e+04,-22.0817
1.263134e-02,7.936502e-02,2.363393e+04,-8.947431e+03,2.527092e+04,-20.7359
1.595506e-02,1.002486e-01,2.264970e+04,-7.982034e+03,2.401504e+04,-19.4131
2.015338e-02,1.266274e-01,2.177246e+04,-7.126998e+03,2.290926e+04,-18.1253
2.545641e-02,1.599473e-01,2.099018e+04,-6.370975e+03,2.193575e+04,-16.8842
3.215484e-02,2.020348e-01,2.029211e+04,-5.704050e+03,2.107857e+04,-15.7005
4.061586e-02,2.551970e-01,1.966863e+04,-5.117623e+03,2.032351e+04,-14.5845
5.130326e-02,3.223479e-01,1.911111e+04,-4.604313e+03,1.965793e+04,-13.5457
6.480286e-02,4.071684e-01,1.861175e+04,-4.157883e+03,1.907053e+04,-12.5932
8.185467e-02,5.143081e-01,1.816351e+04,-3.773189e+03,1.855128e+04,-11.7354
1.033934e-01,6.496398e-01,1.775993e+04,-3.446144e+03,1.809118e+04,-10.9812
1.305997e-01,8.205818e-01,1.739503e+04,-3.173710e+03,1.768218e+04,-10.3398
1.649648e-01,1.036504e+00,1.706319e+04,-2.953895e+03,1.731698e+04,-9.8214
2.083726e-01,1.309244e+00,1.675892e+04,-2.785785e+03,1.698888e+04,-9.4378
2.632024e-01,1.653749e+00,1.647675e+04,-2.669575e+03,1.669161e+04,-9.2031
3.324598e-01,2.088906e+00,1.621091e+04,-2.606602e+03,1.641913e+04,-9.1346
4.199411e-01,2.638568e+00,1.595503e+04,-2.599371e+03,1.616539e+04,-9.2532
5.304417e-01,3.332864e+00,1.570172e+04,-2.651516e+03,1.592403e+04,-9.5850
6.700188e-01,4.209852e+00,1.544196e+04,-2.767652e+03,1.568802e+04,-10.1612
8.463232e-01,5.317605e+00,1.516434e+04,-2.953013e+03,1.544919e+04,-11.0195
1.069019e+00,6.716846e+00,1.485422e+04,-3.212699e+03,1.519767e+04,-12.2041
1.350314e+00,8.484273e+00,1.449269e+04,-3.550302e+03,1.492121e+04,-13.7648
1.705627e+00,1.071677e+01,1.405584e+04,-3.965612e+03,1.460454e+04,-15.7555
2.154435e+00,1.353671e+01,1.351483e+04,-4.451131e+03,1.422896e+04,-18.2294
2.721339e+00,1.709868e+01,1.283784e+04,-4.987497e+03,1.377262e+04,-21.2311
3.437414e+00,2.159791e+01,1.199528e+04,-5.538776e+03,1.321229e+04,-24.7850
4.341913e+00,2.728105e+01,1.096936e+04,-6.050176e+03,1.252723e+04,-28.8790
5.484417e+00,3.445961e+01,9.766694e+03,-6.452181e+03,1.170551e+04,-33.4500
6.927551e+00,4.352708e+01,8.428692e+03,-6.674356e+03,1.075127e+04,-38.3743
8.750422e+00,5.498052e+01,7.031497e+03,-6.666749e+03,9.689556e+03,-43.4747
1.105295e+01,6.944774e+01,5.670199e+03,-6.418996e+03,8.564734e+03,-48.5443
1.396135e+01,8.772177e+01,4.432723e+03,-5.964955e+03,7.431670e+03,-53.3829
1.763505e+01,1.108043e+02,3.377360e+03,-5.369395e+03,6.343261e+03,-57.8300
2.227543e+01,1.399607e+02,2.524960e+03,-4.705633e+03,5.340262e+03,-61.7828
2.813684e+01,1.767890e+02,1.865566e+03,-4.036716e+03,4.446956e+03,-65.1960
3.554059e+01,2.233081e+02,1.371504e+03,-3.406557e+03,3.672282e+03,-68.0699
4.489251e+01,2.820680e+02,1.009328e+03,-2.839822e+03,3.013857e+03,-70.4338
5.670524e+01,3.562895e+02,7.473854e+02,-2.346275e+03,2.462436e+03,-72.3312
7.162629e+01,4.500413e+02,5.592195e+02,-1.925986e+03,2.005529e+03,-73.8091
9.047357e+01,5.684622e+02,4.242700e+02,-1.573623e+03,1.629814e+03,-74.9111
1.142802e+02,7.180437e+02,3.272657e+02,-1.281414e+03,1.322545e+03,-75.6732
1.443512e+02,9.069851e+02,2.571779e+02,-1.040937e+03,1.072237e+03,-76.1222
1.823348e+02,1.145643e+03,2.061745e+02,-8.441015e+02,8.689162e+02,-76.2741
2.303132e+02,1.447101e+03,1.687438e+02,-6.836046e+02,7.041234e+02,-76.1341
2.909163e+02,1.827881e+03,1.410204e+02,-5.530983e+02,5.707929e+02,-75.6964
3.674662e+02,2.308858e+03,1.202925e+02,-4.471903e+02,4.630868e+02,-74.9440
4.641589e+02,2.916396e+03,1.046504e+02,-3.613695e+02,3.762175e+02,-73.8493
5.862947e+02,3.683798e+03,9.274129e+01,-2.919010e+02,3.062795e+02,-72.3742
7.405685e+02,4.653129e+03,8.359963e+01,-2.357144e+02,2.501003e+02,-70.4722
9.354369e+02,5.877523e+03,7.652986e+01,-1.902977e+02,2.051099e+02,-68.0921
1.181582e+03,7.424097e+03,7.102608e+01,-1.536036e+02,1.692299e+02,-65.1842
1.492496e+03,9.377626e+03,6.671649e+01,-1.239672e+02,1.407798e+02,-61.7118
1.885221e+03,1.184519e+04,6.332508e+01,-1.000377e+02,1.183959e+02,-57.6657
2.381286e+03,1.496206e+04,6.064479e+01,-8.072010e+01,1.009630e+02,-53.0826
3.007883e+03,1.889908e+04,5.851888e+01,-6.512826e+01,8.755655e+01,-48.0597
3.799357e+03,2.387207e+04,5.682758e+01,-5.254520e+01,7.739749e+01,-42.7578
4.799096e+03,3.015361e+04,5.547866e+01,-4.239136e+01,6.982055e+01,-37.3835
6.061899e+03,3.808803e+04,5.440057e+01,-3.419845e+01,6.425695e+01,-32.1552
7.656988e+03,4.811028e+04,5.353746e+01,-2.758818e+01,6.022763e+01,-27.2623
9.671799e+03,6.076970e+04,5.284548e+01,-2.225512e+01,5.734052e+01,-22.8377
1.221677e+04,7.676025e+04,5.229008e+01,-1.795267e+01,5.528608e+01,-18.9488
1.543142e+04,9.695845e+04,5.184387e+01,-1.448177e+01,5.382851e+01,-15.6069
1.949194e+04,1.224715e+05,5.148512e+01,-1.168179e+01,5.279377e+01,-12.7838
2.462092e+04,1.546978e+05,5.119651e+01,-9.423082e+00,5.205648e+01,-10.4290
3.109952e+04,1.954040e+05,5.096420e+01,-7.601044e+00,5.152791e+01,-8.4828
3.928284e+04,2.468214e+05,5.077714e+01,-6.131276e+00,5.114597e+01,-6.8851
4.961948e+04,3.117684e+05,5.062646e+01,-4.945684e+00,5.086746e+01,-5.5795
6.267603e+04,3.938051e+05,5.050506e+01,-3.989332e+00,5.066237e+01,-4.5163
7.916819e+04,4.974284e+05,5.040723e+01,-3.217900e+00,5.050983e+01,-3.6527
1.000000e+05,6.283185e+05,5.032837e+01,-2.595636e+00,5.039526e+01,-2.9524
