f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.218671e+03,-3.154122e+03,4.506477e+03,-44.4197
1.263134e-02,7.936502e-02,2.870978e+03,-2.806425e+03,4.014790e+03,-44.3486
1.595506e-02,1.002486e-01,2.561614e+03,-2.497056e+03,3.577311e+03,-44.2688
2.015338e-02,1.266274e-01,2.286352e+03,-2.221790e+03,3.188065e+03,-44.1795
2.545641e-02,1.599473e-01,2.041434e+03,-1.976869e+03,2.841736e+03,-44.0795
3.215484e-02,2.020348e-01,1.823515e+03,-1.758946e+03,2.533594e+03,-43.9674
4.061586e-02,2.551970e-01,1.629619e+03,-1.565046e+03,2.259431e+03,-43.8421
5.130326e-02,3.223479e-01,1.457098e+03,-1.392521e+03,2.015502e+03,-43.7018
6.480286e-02,4.071684e-01,1.303594e+03,-1.239015e+03,1.798476e+03,-43.5451
8.185467e-02,5.143081e-01,1.167013e+03,-1.102430e+03,1.605388e+03,-43.3699
1.033934e-01,6.496398e-01,1.045487e+03,-9.809014e+02,1.433601e+03,-43.1745
1.305997e-01,8.205818e-01,9.373587e+02,-8.727698e+02,1.280769e+03,-42.9564
1.649648e-01,1.036504e+00,8.411500e+02,-7.765582e+02,1.144804e+03,-42.7135
2.083726e-01,1.309244e+00,7.555471e+02,-6.909526e+02,1.023849e+03,-42.4431
2.632024e-01,1.653749e+00,6.793809e+02,-6.147839e+02,9.162519e+02,-42.1425
3.324598e-01,2.088906e+00,6.116111e+02,-5.470118e+02,8.205425e+02,-41.8088
4.199411e-01,2.638568e+00,5.513121e+02,-4.867107e+02,7.354130e+02,-41.4388
5.304417e-01,3.332864e+00,4.976605e+02,-4.330570e+02,6.597001e+02,-41.0293
6.700188e-01,4.209852e+00,4.499232e+02,-3.853180e+02,5.923689e+02,-40.5770
8.463232e-01,5.317605e+00,4.074485e+02,-3.428417e+02,5.324985e+02,-40.0784
1.069019e+00,6.716846e+00,3.696561e+02,-3.050479e+02,4.792702e+02,-39.5302
1.350314e+00,8.484273e+00,3.360299e+02,-2.714206e+02,4.319551e+02,-38.9288
1.705627e+00,1.071677e+01,3.061106e+02,-2.415004e+02,3.899052e+02,-38.2710
2.154435e+00,1.353671e+01,2.794894e+02,-2.148787e+02,3.525439e+02,-37.5540
2.721339e+00,1.709868e+01,2.558029e+02,-1.911919e+02,3.193579e+02,-36.7751
3.437414e+00,2.159791e+01,2.347275e+02,-1.701165e+02,2.898907e+02,-35.9324
4.341913e+00,2.728105e+01,2.159752e+02,-1.513647e+02,2.637358e+02,-35.0244
5.484417e+00,3.445961e+01,1.992901e+02,-1.346804e+02,2.405314e+02,-34.0509
6.927551e+00,4.352708e+01,1.844440e+02,-1.198357e+02,2.199550e+02,-33.0123
8.750422e+00,5.498052e+01,1.712344e+02,-1.066279e+02,2.017195e+02,-31.9106
1.105295e+01,6.944774e+01,1.594807e+02,-9.487658e+01,1.855685e+02,-30.7488
1.396135e+01,8.772177e+01,1.490224e+02,-8.442122e+01,1.712735e+02,-29.5316
1.763505e+01,1.108043e+02,1.397166e+02,-7.511907e+01,1.586304e+02,-28.2648
2.227543e+01,1.399607e+02,1.314362e+02,-6.684308e+01,1.474566e+02,-26.9560
2.813684e+01,1.767890e+02,1.240680e+02,-5.948022e+01,1.375891e+02,-25.6138
3.554059e+01,2.233081e+02,1.175115e+02,-5.292997e+01,1.288819e+02,-24.2479
4.489251e+01,2.820680e+02,1.116771e+02,-4.710286e+01,1.212042e+02,-22.8689
5.670524e+01,3.562895e+02,1.064850e+02,-4.191935e+01,1.144390e+02,-21.4878
7.162629e+01,4.500413e+02,1.018644e+02,-3.730868e+01,1.084817e+02,-20.1157
9.047357e+01,5.684622e+02,9.775202e+01,-3.320791e+01,1.032387e+02,-18.7634
