f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.061944e+03,-9.974005e+02,1.456892e+03,-43.2048
1.263134e-02,7.936502e-02,9.519972e+02,-8.874497e+02,1.301486e+03,-42.9903
1.595506e-02,1.002486e-01,8.541704e+02,-7.896195e+02,1.163231e+03,-42.7512
2.015338e-02,1.266274e-01,7.671279e+02,-7.025737e+02,1.040238e+03,-42.4850
2.545641e-02,1.599473e-01,6.896808e+02,-6.251236e+02,9.308272e+02,-42.1890
3.215484e-02,2.020348e-01,6.207714e+02,-5.562114e+02,8.335036e+02,-41.8603
4.061586e-02,2.551970e-01,5.594586e+02,-4.948958e+02,7.469376e+02,-41.4959
5.130326e-02,3.223479e-01,5.049048e+02,-4.403396e+02,6.699461e+02,-41.0925
6.480286e-02,4.071684e-01,4.563649e+02,-3.917975e+02,6.014767e+02,-40.6467
8.185467e-02,5.143081e-01,4.131761e+02,-3.486067e+02,5.405933e+02,-40.1551
1.033934e-01,6.496398e-01,3.747483e+02,-3.101773e+02,4.864630e+02,-39.6144
1.305997e-01,8.205818e-01,3.405568e+02,-2.759844e+02,4.383450e+02,-39.0210
1.649648e-01,1.036504e+00,3.101345e+02,-2.455610e+02,3.955801e+02,-38.3718
2.083726e-01,1.309244e+00,2.830659e+02,-2.184917e+02,3.575820e+02,-37.6637
2.632024e-01,1.653749e+00,2.589812e+02,-1.944066e+02,3.238290e+02,-36.8941
3.324598e-01,2.088906e+00,2.375515e+02,-1.729770e+02,2.938567e+02,-36.0608
4.199411e-01,2.638568e+00,2.184841e+02,-1.539100e+02,2.672519e+02,-35.1626
5.304417e-01,3.332864e+00,2.015184e+02,-1.369453e+02,2.436467e+02,-34.1987
6.700188e-01,4.209852e+00,1.864229e+02,-1.218512e+02,2.227133e+02,-33.1698
8.463232e-01,5.317605e+00,1.729911e+02,-1.084216e+02,2.041597e+02,-32.0773
1.069019e+00,6.716846e+00,1.610398e+02,-9.647300e+01,1.877255e+02,-30.9243
1.350314e+00,8.484273e+00,1.504056e+02,-8.584223e+01,1.731783e+02,-29.7151
1.705627e+00,1.071677e+01,1.409432e+02,-7.638411e+01,1.603107e+02,-28.4555
2.154435e+00,1.353671e+01,1.325234e+02,-6.796948e+01,1.489372e+02,-27.1527
2.721339e+00,1.709868e+01,1.250312e+02,-6.048342e+01,1.388922e+02,-25.8152
3.437414e+00,2.159791e+01,1.183641e+02,-5.382371e+01,1.300272e+02,-24.4527
4.341913e+00,2.728105e+01,1.124312e+02,-4.789941e+01,1.222094e+02,-23.0756
5.484417e+00,3.445961e+01,1.071514e+02,-4.262963e+01,1.153200e+02,-21.6949
6.927551e+00,4.352708e+01,1.024525e+02,-3.794245e+01,1.092527e+02,-20.3217
8.750422e+00,5.498052e+01,9.827036e+01,-3.377390e+01,1.039122e+02,-18.9670
1.105295e+01,6.944774e+01,9.454780e+01,-3.006710e+01,9.921349e+01,-17.6412
1.396135e+01,8.772177e+01,9.123397e+01,-2.677152e+01,9.508077e+01,-16.3537
1.763505e+01,1.108043e+02,8.828359e+01,-2.384226e+01,9.144641e+01,-15.1130
