f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,5.197576e+03,-3.504750e+03,6.268817e+03,-33.9920
1.263134e-02,7.936502e-02,4.811232e+03,-3.118443e+03,5.733466e+03,-32.9497
1.595506e-02,1.002486e-01,4.467472e+03,-2.774727e+03,5.259032e+03,-31.8442
2.015338e-02,1.266274e-01,4.161603e+03,-2.468907e+03,4.838847e+03,-30.6789
2.545641e-02,1.599473e-01,3.889446e+03,-2.196808e+03,4.466963e+03,-29.4583
3.215484e-02,2.020348e-01,3.647285e+03,-1.954714e+03,4.138066e+03,-28.1885
4.061586e-02,2.551970e-01,3.431812e+03,-1.739319e+03,3.847410e+03,-26.8769
5.130326e-02,3.223479e-01,3.240085e+03,-1.547682e+03,3.590748e+03,-25.5323
6.480286e-02,4.071684e-01,3.069485e+03,-1.377187e+03,3.364280e+03,-24.1644
8.185467e-02,5.143081e-01,2.917681e+03,-1.225507e+03,3.164606e+03,-22.7838
1.033934e-01,6.496398e-01,2.782602e+03,-1.090572e+03,2.988682e+03,-21.4015
1.305997e-01,8.205818e-01,2.662401e+03,-9.705397e+02,2.833783e+03,-20.0286
1.649648e-01,1.036504e+00,2.555437e+03,-8.637743e+02,2.697474e+03,-18.6760
2.083726e-01,1.309244e+00,2.460249e+03,-7.688204e+02,2.577579e+03,-17.3539
2.632024e-01,1.653749e+00,2.375537e+03,-6.843847e+02,2.472156e+03,-16.0715
3.324598e-01,2.088906e+00,2.300142e+03,-6.093186e+02,2.379480e+03,-14.8371
4.199411e-01,2.638568e+00,2.233036e+03,-5.426025e+02,2.298014e+03,-13.6575
5.304417e-01,3.332864e+00,2.173300e+03,-4.833324e+02,2.226397e+03,-12.5383
6.700188e-01,4.209852e+00,2.120118e+03,-4.307075e+02,2.163425e+03,-11.4835
8.463232e-01,5.317605e+00,2.072762e+03,-3.840200e+02,2.108036e+03,-10.4962
1.069019e+00,6.716846e+00,2.030585e+03,-3.426458e+02,2.059291e+03,-9.5780
1.350314e+00,8.484273e+00,1.993007e+03,-3.060365e+02,2.016367e+03,-8.7299
1.705627e+00,1.071677e+01,1.959513e+03,-2.737129e+02,1.978537e+03,-7.9519
2.154435e+00,1.353671e+01,1.929642e+03,-2.452596e+02,1.945166e+03,-7.2435
2.721339e+00,1.709868e+01,1.902981e+03,-2.203198e+02,1.915693e+03,-6.6041
3.437414e+00,2.159791e+01,1.879161e+03,-1.985925e+02,1.889625e+03,-6.0327
4.341913e+00,2.728105e+01,1.857847e+03,-1.798300e+02,1.866530e+03,-5.5287
5.484417e+00,3.445961e+01,1.838737e+03,-1.638368e+02,1.846022e+03,-5.0918
6.927551e+00,4.352708e+01,1.821556e+03,-1.504692e+02,1.827760e+03,-4.7222
8.750422e+00,5.498052e+01,1.806049e+03,-1.396369e+02,1.811439e+03,-4.4211
1.105295e+01,6.944774e+01,1.791977e+03,-1.313057e+02,1.796781e+03,-4.1908
1.396135e+01,8.772177e+01,1.779109e+03,-1.255011e+02,1.783530e+03,-4.0350
1.763505e+01,1.108043e+02,1.767217e+03,-1.223146e+02,1.771445e+03,-3.9593
2.227543e+01,1.399607e+02,1.756064e+03,-1.219106e+02,1.760290e+03,-3.9713
2.813684e+01,1.767890e+02,1.745390e+03,-1.245352e+02,1.749828e+03,-4.0812
3.554059e+01,2.233081e+02,1.734901e+03,-1.305264e+02,1.739804e+03,-4.3026
4.489251e+01,2.820680e+02,1.724236e+03,-1.403242e+02,1.729937e+03,-4.6527
5.670524e+01,3.562895e+02,1.712939e+03,-1.544783e+02,1.719891e+03,-5.1532
7.162629e+01,4.500413e+02,1.700409e+03,-1.736512e+02,1.709253e+03,-5.8310
9.047357e+01,5.684622e+02,1.685834e+03,-1.986076e+02,1.697492e+03,-6.7190
1.142802e+02,7.180437e+02,1.668105e+03,-2.301795e+02,1.683911e+03,-7.8565
1.443512e+02,9.069851e+02,1.645707e+03,-2.691862e+02,1.667577e+03,-9.2895
1.823348e+02,1.145643e+03,1.616597e+03,-3.162809e+02,1.647247e+03,-11.0699
2.303132e+02,1.447101e+03,1.578102e+03,-3.716840e+02,1.621282e+03,-13.2531
2.909163e+02,1.827881e+03,1.526906e+03,-4.347687e+02,1.587598e+03,-15.8937
3.674662e+02,2.308858e+03,1.459269e+03,-5.035026e+02,1.543691e+03,-19.0364
4.641589e+02,2.916396e+03,1.371632e+03,-5.738561e+02,1.486837e+03,-22.7032
5.862947e+02,3.683798e+03,1.261769e+03,-6.394893e+02,1.414570e+03,-26.8768
7.405685e+02,4.653129e+03,1.130337e+03,-6.922203e+02,1.325455e+03,-31.4834
9.354369e+02,5.877523e+03,9.821708e+02,-7.236907e+02,1.219995e+03,-36.3838
1.181582e+03,7.424097e+03,8.262840e+02,-7.279769e+02,1.101225e+03,-41.3809
1.492496e+03,9.377626e+03,6.739391e+02,-7.039041e+02,9.745126e+02,-46.2459
1.885221e+03,1.184519e+04,5.354761e+02,-6.555561e+02,8.464564e+02,-50.7571
2.381286e+03,1.496206e+04,4.176522e+02,-5.906087e+02,7.233616e+02,-54.7338
3.007883e+03,1.889908e+04,3.227972e+02,-5.176344e+02,6.100356e+02,-58.0523
3.799357e+03,2.387207e+04,2.496796e+02,-4.439095e+02,5.093089e+02,-60.6442
4.799096e+03,3.015361e+04,1.950787e+02,-3.744382e+02,4.222081e+02,-62.4809
6.061899e+03,3.808803e+04,1.551699e+02,-3.119961e+02,3.484527e+02,-63.5567
7.656988e+03,4.811028e+04,1.263754e+02,-2.576633e+02,2.869862e+02,-63.8736
9.671799e+03,6.076970e+04,1.057298e+02,-2.114331e+02,2.363953e+02,-63.4321
1.221677e+04,7.676025e+04,9.094389e+01,-1.727023e+02,1.951842e+02,-62.2290
1.543142e+04,9.695845e+04,8.032612e+01,-1.406020e+02,1.619296e+02,-60.2606
1.949194e+04,1.224715e+05,7.265956e+01,-1.141967e+02,1.353525e+02,-57.5328
2.462092e+04,1.546978e+05,6.708267e+01,-9.259088e+01,1.143379e+02,-54.0764
3.109952e+04,1.954040e+05,6.299052e+01,-7.497849e+01,9.792640e+01,-49.9659
3.928284e+04,2.468214e+05,5.995964e+01,-6.066001e+01,8.529241e+01,-45.3327
4.961948e+04,3.117684e+05,5.769328e+01,-4.904206e+01,7.572079e+01,-40.3661
6.267603e+04,3.938051e+05,5.598266e+01,-3.962871e+01,6.858931e+01,-35.2937
7.916819e+04,4.974284e+05,5.467998e+01,-3.200962e+01,6.336021e+01,-30.3447
1.000000e+05,6.283185e+05,5.367975e+01,-2.584763e+01,5.957865e+01,-25.7115
