f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,4.168930e+02,-3.504614e+02,5.446310e+02,-40.0521
1.263134e-02,7.936502e-02,3.782599e+02,-3.118283e+02,4.902218e+02,-39.5013
1.595506e-02,1.002486e-01,3.438855e+02,-2.774540e+02,4.418574e+02,-38.8973
2.015338e-02,1.266274e-01,3.133004e+02,-2.468689e+02,3.988752e+02,-38.2368
2.545641e-02,1.599473e-01,2.860869e+02,-2.196553e+02,3.606857e+02,-37.5168
3.215484e-02,2.020348e-01,2.618732e+02,-1.954416e+02,3.267644e+02,-36.7348
4.061586e-02,2.551970e-01,2.403287e+02,-1.738971e+02,2.966448e+02,-35.8888
5.130326e-02,3.223479e-01,2.211592e+02,-1.547276e+02,2.699112e+02,-34.9774
6.480286e-02,4.071684e-01,2.041028e+02,-1.376713e+02,2.461937e+02,-34.0004
8.185467e-02,5.143081e-01,1.889266e+02,-1.224951e+02,2.251629e+02,-32.9583
1.033934e-01,6.496398e-01,1.754234e+02,-1.089919e+02,2.065251e+02,-31.8530
1.305997e-01,8.205818e-01,1.634087e+02,-9.697728e+01,1.900184e+02,-30.6876
1.649648e-01,1.036504e+00,1.527184e+02,-8.628707e+01,1.754092e+02,-29.4668
2.083726e-01,1.309244e+00,1.432066e+02,-7.677530e+01,1.624887e+02,-28.1965
2.632024e-01,1.653749e+00,1.347433e+02,-6.831208e+01,1.510705e+02,-26.8841
3.324598e-01,2.088906e+00,1.272129e+02,-6.078182e+01,1.409878e+02,-25.5383
4.199411e-01,2.638568e+00,1.205126e+02,-5.408167e+01,1.320913e+02,-24.1688
5.304417e-01,3.332864e+00,1.145509e+02,-4.812014e+01,1.242476e+02,-22.7861
6.700188e-01,4.209852e+00,1.092464e+02,-4.281580e+01,1.173370e+02,-21.4012
8.463232e-01,5.317605e+00,1.045266e+02,-3.809621e+01,1.112526e+02,-20.0250
1.069019e+00,6.716846e+00,1.003271e+02,-3.389692e+01,1.058987e+02,-18.6683
1.350314e+00,8.484273e+00,9.659051e+01,-3.016057e+01,1.011899e+02,-17.3411
1.705627e+00,1.071677e+01,9.326577e+01,-2.683615e+01,9.704990e+01,-16.0526
2.154435e+00,1.353671e+01,9.030751e+01,-2.387824e+01,9.341101e+01,-14.8107
2.721339e+00,1.709868e+01,8.767532e+01,-2.124647e+01,9.021293e+01,-13.6220
3.437414e+00,2.159791e+01,8.533324e+01,-1.890488e+01,8.740227e+01,-12.4917
4.341913e+00,2.728105e+01,8.324930e+01,-1.682150e+01,8.493179e+01,-11.4235
5.484417e+00,3.445961e+01,8.139503e+01,-1.496789e+01,8.275983e+01,-10.4198
6.927551e+00,4.352708e+01,7.974511e+01,-1.331873e+01,8.084969e+01,-9.4818
8.750422e+00,5.498052e+01,7.827701e+01,-1.185151e+01,7.916911e+01,-8.6095
1.105295e+01,6.944774e+01,7.697066e+01,-1.054621e+01,7.768980e+01,-7.8019
1.396135e+01,8.772177e+01,7.580824e+01,-9.385006e+00,7.638696e+01,-7.0573
1.763505e+01,1.108043e+02,7.477386e+01,-8.352065e+00,7.523887e+01,-6.3734
2.227543e+01,1.399607e+02,7.385339e+01,-7.433297e+00,7.422653e+01,-5.7474
2.813684e+01,1.767890e+02,7.303427e+01,-6.616183e+00,7.333334e+01,-5.1763
3.554059e+01,2.233081e+02,7.230530e+01,-5.889596e+00,7.254477e+01,-4.6567
4.489251e+01,2.820680e+02,7.165651e+01,-5.243655e+00,7.184812e+01,-4.1853
5.670524e+01,3.562895e+02,7.107906e+01,-4.669589e+00,7.123228e+01,-3.7587
7.162629e+01,4.500413e+02,7.056503e+01,-4.159623e+00,7.068753e+01,-3.3735
9.047357e+01,5.684622e+02,7.010741e+01,-3.706873e+00,7.020534e+01,-3.0266
1.142802e+02,7.180437e+02,6.969993e+01,-3.305254e+00,6.977826e+01,-2.7150
1.443512e+02,9.069851e+02,6.933702e+01,-2.949406e+00,6.939972e+01,-2.4357
1.823348e+02,1.145643e+03,6.901369e+01,-2.634622e+00,6.906396e+01,-2.1862
2.303132e+02,1.447101e+03,6.872550e+01,-2.356794e+00,6.876590e+01,-1.9641
2.909163e+02,1.827881e+03,6.846849e+01,-2.112364e+00,6.850107e+01,-1.7671
3.674662e+02,2.308858e+03,6.823911e+01,-1.898286e+00,6.826551e+01,-1.5935
4.641589e+02,2.916396e+03,6.803417e+01,-1.712000e+00,6.805570e+01,-1.4415
