f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.171194e+04,-3.153820e+04,4.472477e+04,-44.8426
1.263134e-02,7.936502e-02,2.823546e+04,-2.806129e+04,3.980800e+04,-44.8227
1.595506e-02,1.002486e-01,2.514224e+04,-2.496767e+04,3.543328e+04,-44.8004
2.015338e-02,1.266274e-01,2.239005e+04,-2.221508e+04,3.154084e+04,-44.7753
2.545641e-02,1.599473e-01,1.994129e+04,-1.976594e+04,2.807752e+04,-44.7470
3.215484e-02,2.020348e-01,1.776251e+04,-1.758678e+04,2.499603e+04,-44.7152
4.061586e-02,2.551970e-01,1.582394e+04,-1.564785e+04,2.225427e+04,-44.6794
5.130326e-02,3.223479e-01,1.409911e+04,-1.392267e+04,1.981478e+04,-44.6392
6.480286e-02,4.071684e-01,1.256445e+04,-1.238767e+04,1.764426e+04,-44.5941
8.185467e-02,5.143081e-01,1.119900e+04,-1.102189e+04,1.571304e+04,-44.5433
1.033934e-01,6.496398e-01,9.984106e+03,-9.806681e+03,1.399476e+04,-44.4864
1.305997e-01,8.205818e-01,8.903165e+03,-8.725440e+03,1.246594e+04,-44.4224
1.649648e-01,1.036504e+00,7.941413e+03,-7.763401e+03,1.110569e+04,-44.3506
2.083726e-01,1.309244e+00,7.085708e+03,-6.907423e+03,9.895441e+03,-44.2700
2.632024e-01,1.653749e+00,6.324359e+03,-6.145817e+03,8.818650e+03,-44.1797
3.324598e-01,2.088906e+00,5.646964e+03,-5.468180e+03,7.860610e+03,-44.0785
4.199411e-01,2.638568e+00,5.044264e+03,-4.865256e+03,7.008233e+03,-43.9651
5.304417e-01,3.332864e+00,4.508026e+03,-4.328811e+03,6.249872e+03,-43.8382
6.700188e-01,4.209852e+00,4.030919e+03,-3.851517e+03,5.575168e+03,-43.6962
8.463232e-01,5.317605e+00,3.606424e+03,-3.426855e+03,4.974900e+03,-43.5375
1.069019e+00,6.716846e+00,3.228739e+03,-3.049024e+03,4.440868e+03,-43.3602
1.350314e+00,8.484273e+00,2.892701e+03,-2.712864e+03,3.965773e+03,-43.1625
1.705627e+00,1.071677e+01,2.593717e+03,-2.413783e+03,3.543122e+03,-42.9421
2.154435e+00,1.353671e+01,2.327699e+03,-2.147694e+03,3.167139e+03,-42.6968
2.721339e+00,1.709868e+01,2.091009e+03,-1.910965e+03,2.832685e+03,-42.4241
3.437414e+00,2.159791e+01,1.880412e+03,-1.700360e+03,2.535187e+03,-42.1214
4.341913e+00,2.728105e+01,1.693028e+03,-1.513004e+03,2.270578e+03,-41.7861
5.484417e+00,3.445961e+01,1.526293e+03,-1.346335e+03,2.035237e+03,-41.4153
6.927551e+00,4.352708e+01,1.377928e+03,-1.198078e+03,1.825945e+03,-41.0062
8.750422e+00,5.498052e+01,1.245902e+03,-1.066207e+03,1.639838e+03,-40.5560
1.105295e+01,6.944774e+01,1.128409e+03,-9.489210e+02,1.474367e+03,-40.0617
1.396135e+01,8.772177e+01,1.023841e+03,-8.446171e+02,1.327264e+03,-39.5209
1.763505e+01,1.108043e+02,9.307677e+02,-7.518708e+02,1.196511e+03,-38.9312
2.227543e+01,1.399607e+02,8.479143e+02,-6.694153e+02,1.080313e+03,-38.2905
2.813684e+01,1.767890e+02,7.741466e+02,-5.961245e+02,9.770708e+02,-37.5977
3.554059e+01,2.233081e+02,7.084545e+02,-5.309977e+02,8.853623e+02,-36.8521
4.489251e+01,2.820680e+02,6.499381e+02,-4.731460e+02,8.039196e+02,-36.0541
5.670524e+01,3.562895e+02,5.977955e+02,-4.217804e+02,7.316134e+02,-35.2053
7.162629e+01,4.500413e+02,5.513118e+02,-3.762006e+02,6.674366e+02,-34.3086
9.047357e+01,5.684622e+02,5.098494e+02,-3.357859e+02,6.104904e+02,-33.3688
1.142802e+02,7.180437e+02,4.728387e+02,-2.999869e+02,5.599719e+02,-32.3926
1.443512e+02,9.069851e+02,4.397707e+02,-2.683177e+02,5.151627e+02,-31.3887
1.823348e+02,1.145643e+03,4.101894e+02,-2.403497e+02,4.754191e+02,-30.3681
2.303132e+02,1.447101e+03,3.836854e+02,-2.157056e+02,4.401629e+02,-29.3444
2.909163e+02,1.827881e+03,3.598899e+02,-1.940539e+02,4.088736e+02,-28.3337
3.674662e+02,2.308858e+03,3.384686e+02,-1.751050e+02,3.810811e+02,-27.3546
4.641589e+02,2.916396e+03,3.191169e+02,-1.586061e+02,3.563587e+02,-26.4281
5.862947e+02,3.683798e+03,3.015540e+02,-1.443374e+02,3.343173e+02,-25.5779
7.405685e+02,4.653129e+03,2.855179e+02,-1.321076e+02,3.145996e+02,-24.8297
9.354369e+02,5.877523e+03,2.707601e+02,-1.217497e+02,2.968737e+02,-24.2115
1.181582e+03,7.424097e+03,2.570397e+02,-1.131147e+02,2.808280e+02,-23.7527
1.492496e+03,9.377626e+03,2.441188e+02,-1.060645e+02,2.661647e+02,-23.4839
1.885221e+03,1.184519e+04,2.317575e+02,-1.004626e+02,2.525951e+02,-23.4358
2.381286e+03,1.496206e+04,2.197120e+02,-9.616045e+01,2.398337e+02,-23.6374
3.007883e+03,1.889908e+04,2.077362e+02,-9.298131e+01,2.275958e+02,-24.1130
3.799357e+03,2.387207e+04,1.955918e+02,-9.070075e+01,2.155987e+02,-24.8783
4.799096e+03,3.015361e+04,1.830707e+02,-8.902797e+01,2.035703e+02,-25.9338
6.061899e+03,3.808803e+04,1.700314e+02,-8.759609e+01,1.912688e+02,-27.2564
7.656988e+03,4.811028e+04,1.564497e+02,-8.597363e+01,1.785160e+02,-28.7901
9.671799e+03,6.076970e+04,1.424676e+02,-8.371050e+01,1.652407e+02,-30.4375
1.221677e+04,7.676025e+04,1.284161e+02,-8.042119e+01,1.515198e+02,-32.0571
1.543142e+04,9.695845e+04,1.147812e+02,-7.588456e+01,1.375979e+02,-33.4696
1.949194e+04,1.224715e+05,1.021067e+02,-7.011614e+01,1.238630e+02,-34.4772
2.462092e+04,1.546978e+05,9.086272e+01,-6.336957e+01,1.107779e+02,-34.8927
3.109952e+04,1.954040e+05,8.133879e+01,-5.605938e+01,9.878589e+01,-34.5749
3.928284e+04,2.468214e+05,7.360565e+01,-4.864320e+01,8.822671e+01,-33.4592
4.961948e+04,3.117684e+05,6.754819e+01,-4.151786e+01,7.928739e+01,-31.5766
6.267603e+04,3.938051e+05,6.293680e+01,-3.496288e+01,7.199614e+01,-29.0532
7.916819e+04,4.974284e+05,5.949962e+01,-2.913246e+01,6.624881e+01,-26.0875
1.000000e+05,6.283185e+05,5.697404e+01,-2.407746e+01,6.185277e+01,-22.9091
