f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.624658e+02,-1.108253e+02,1.966657e+02,-34.2997
1.263134e-02,7.936502e-02,1.502490e+02,-9.860849e+01,1.797175e+02,-33.2769
1.595506e-02,1.002486e-01,1.393789e+02,-8.773837e+01,1.646951e+02,-32.1902
2.015338e-02,1.266274e-01,1.297071e+02,-7.806651e+01,1.513879e+02,-31.0424
2.545641e-02,1.599473e-01,1.211014e+02,-6.946083e+01,1.396079e+02,-29.8375
3.215484e-02,2.020348e-01,1.134444e+02,-6.180380e+01,1.291873e+02,-28.5813
4.061586e-02,2.551970e-01,1.066315e+02,-5.499084e+01,1.199761e+02,-27.2806
5.130326e-02,3.223479e-01,1.005696e+02,-4.892891e+01,1.118404e+02,-25.9438
6.480286e-02,4.071684e-01,9.517594e+01,-4.353522e+01,1.046603e+02,-24.5802
8.185467e-02,5.143081e-01,9.037685e+01,-3.873611e+01,9.832833e+01,-23.2003
1.033934e-01,6.496398e-01,8.610679e+01,-3.446603e+01,9.274851e+01,-21.8148
1.305997e-01,8.205818e-01,8.230744e+01,-3.066666e+01,8.783484e+01,-20.4347
1.649648e-01,1.036504e+00,7.892691e+01,-2.728612e+01,8.351042e+01,-19.0710
2.083726e-01,1.309244e+00,7.591904e+01,-2.427824e+01,7.970654e+01,-17.7338
2.632024e-01,1.653749e+00,7.324274e+01,-2.160194e+01,7.636192e+01,-16.4327
3.324598e-01,2.088906e+00,7.086146e+01,-1.922066e+01,7.342193e+01,-15.1759
4.199411e-01,2.638568e+00,6.874268e+01,-1.710188e+01,7.083806e+01,-13.9705
5.304417e-01,3.332864e+00,6.685746e+01,-1.521668e+01,6.856725e+01,-12.8220
6.700188e-01,4.209852e+00,6.518006e+01,-1.353930e+01,6.657141e+01,-11.7347
8.463232e-01,5.317605e+00,6.368756e+01,-1.204683e+01,6.481691e+01,-10.7112
1.069019e+00,6.716846e+00,6.235959e+01,-1.071889e+01,6.327411e+01,-9.7532
1.350314e+00,8.484273e+00,6.117800e+01,-9.537339e+00,6.191695e+01,-8.8608
1.705627e+00,1.071677e+01,6.012666e+01,-8.486050e+00,6.072255e+01,-8.0335
2.154435e+00,1.353671e+01,5.919120e+01,-7.550661e+00,5.967086e+01,-7.2696
