f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.322566e+03,-1.108258e+03,1.725519e+03,-39.9617
1.263134e-02,7.936502e-02,1.200397e+03,-9.860897e+02,1.553488e+03,-39.4021
1.595506e-02,1.002486e-01,1.091696e+03,-8.773890e+02,1.400575e+03,-38.7886
2.015338e-02,1.266274e-01,9.949769e+02,-7.806711e+02,1.264684e+03,-38.1182
2.545641e-02,1.599473e-01,9.089198e+02,-6.946150e+02,1.143952e+03,-37.3878
3.215484e-02,2.020348e-01,8.323490e+02,-6.180455e+02,1.036718e+03,-36.5951
4.061586e-02,2.551970e-01,7.642189e+02,-5.499169e+02,9.415090e+02,-35.7380
5.130326e-02,3.223479e-01,7.035989e+02,-4.892986e+02,8.570091e+02,-34.8156
6.480286e-02,4.071684e-01,6.496612e+02,-4.353629e+02,7.820490e+02,-33.8276
8.185467e-02,5.143081e-01,6.016691e+02,-3.873732e+02,7.155863e+02,-32.7747
1.033934e-01,6.496398e-01,5.589672e+02,-3.446740e+02,6.566920e+02,-31.6591
1.305997e-01,8.205818e-01,5.209722e+02,-3.066821e+02,6.045378e+02,-30.4842
1.649648e-01,1.036504e+00,4.871652e+02,-2.728789e+02,5.583842e+02,-29.2548
2.083726e-01,1.309244e+00,4.570847e+02,-2.428025e+02,5.175707e+02,-27.9772
2.632024e-01,1.653749e+00,4.303196e+02,-2.160424e+02,4.815073e+02,-26.6590
3.324598e-01,2.088906e+00,4.065045e+02,-1.922330e+02,4.496659e+02,-25.3091
4.199411e-01,2.638568e+00,3.853142e+02,-1.710493e+02,4.215742e+02,-23.9375
5.304417e-01,3.332864e+00,3.664591e+02,-1.522019e+02,3.968094e+02,-22.5546
6.700188e-01,4.209852e+00,3.496819e+02,-1.354336e+02,3.749929e+02,-21.1716
8.463232e-01,5.317605e+00,3.347533e+02,-1.205155e+02,3.557861e+02,-19.7995
1.069019e+00,6.716846e+00,3.214695e+02,-1.072440e+02,3.388863e+02,-18.4490
1.350314e+00,8.484273e+00,3.096491e+02,-9.543789e+01,3.240231e+02,-17.1300
1.705627e+00,1.071677e+01,2.991305e+02,-8.493623e+01,3.109554e+02,-15.8516
2.154435e+00,1.353671e+01,2.897702e+02,-7.559582e+01,2.994687e+02,-14.6215
2.721339e+00,1.709868e+01,2.814402e+02,-6.728942e+01,2.893725e+02,-13.4464
3.437414e+00,2.159791e+01,2.740267e+02,-5.990396e+01,2.804980e+02,-12.3312
4.341913e+00,2.728105e+01,2.674285e+02,-5.333906e+01,2.726959e+02,-11.2797
5.484417e+00,3.445961e+01,2.615554e+02,-4.750568e+01,2.658346e+02,-10.2943
6.927551e+00,4.352708e+01,2.563271e+02,-4.232489e+01,2.597979e+02,-9.3761
8.750422e+00,5.498052e+01,2.516720e+02,-3.772688e+01,2.544840e+02,-8.5254
1.105295e+01,6.944774e+01,2.475265e+02,-3.365001e+01,2.498033e+02,-7.7416
1.396135e+01,8.772177e+01,2.438338e+02,-3.004003e+01,2.456773e+02,-7.0234
1.763505e+01,1.108043e+02,2.405432e+02,-2.684944e+01,2.420370e+02,-6.3690
2.227543e+01,1.399607e+02,2.376095e+02,-2.403688e+01,2.388222e+02,-5.7765
2.813684e+01,1.767890e+02,2.349922e+02,-2.156669e+01,2.359798e+02,-5.2437
3.554059e+01,2.233081e+02,2.326551e+02,-1.940853e+01,2.334632e+02,-4.7687
4.489251e+01,2.820680e+02,2.305655e+02,-1.753717e+01,2.312315e+02,-4.3496
5.670524e+01,3.562895e+02,2.286941e+02,-1.593225e+01,2.292484e+02,-3.9851
7.162629e+01,4.500413e+02,2.270141e+02,-1.457830e+01,2.274817e+02,-3.6744
9.047357e+01,5.684622e+02,2.255009e+02,-1.346481e+01,2.259025e+02,-3.4171
1.142802e+02,7.180437e+02,2.241316e+02,-1.258638e+01,2.244847e+02,-3.2141
1.443512e+02,9.069851e+02,2.228846e+02,-1.194308e+01,2.232044e+02,-3.0672
1.823348e+02,1.145643e+03,2.217386e+02,-1.154093e+01,2.220388e+02,-2.9794
2.303132e+02,1.447101e+03,2.206722e+02,-1.139255e+01,2.209661e+02,-2.9554
2.909163e+02,1.827881e+03,2.196625e+02,-1.151794e+01,2.199643e+02,-3.0015
3.674662e+02,2.308858e+03,2.186840e+02,-1.194543e+01,2.190100e+02,-3.1266
