f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.304186e+04,-3.153924e+04,4.567809e+04,-43.6671
1.263134e-02,7.936502e-02,2.956524e+04,-2.806244e+04,4.076277e+04,-43.5062
1.595506e-02,1.002486e-01,2.647187e+04,-2.496894e+04,3.638967e+04,-43.3265
2.015338e-02,1.266274e-01,2.371952e+04,-2.221649e+04,3.249905e+04,-43.1260
2.545641e-02,1.599473e-01,2.127057e+04,-1.976750e+04,2.903776e+04,-42.9024
3.215484e-02,2.020348e-01,1.909159e+04,-1.758851e+04,2.595852e+04,-42.6534
4.061586e-02,2.551970e-01,1.715280e+04,-1.564977e+04,2.321926e+04,-42.3765
5.130326e-02,3.223479e-01,1.542773e+04,-1.392480e+04,2.078256e+04,-42.0689
6.480286e-02,4.071684e-01,1.389280e+04,-1.239004e+04,1.861513e+04,-41.7276
8.185467e-02,5.143081e-01,1.252705e+04,-1.102453e+04,1.668734e+04,-41.3497
1.033934e-01,6.496398e-01,1.131182e+04,-9.809620e+03,1.497284e+04,-40.9319
1.305997e-01,8.205818e-01,1.023052e+04,-8.728715e+03,1.344819e+04,-40.4709
1.649648e-01,1.036504e+00,9.268358e+03,-7.767055e+03,1.209254e+04,-39.9636
2.083726e-01,1.309244e+00,8.412207e+03,-6.911505e+03,1.088734e+04,-39.4067
2.632024e-01,1.653749e+00,7.650363e+03,-6.150384e+03,9.816072e+03,-38.7970
3.324598e-01,2.088906e+00,6.972419e+03,-5.473296e+03,8.864062e+03,-38.1316
4.199411e-01,2.638568e+00,6.369112e+03,-4.870998e+03,8.018242e+03,-37.4082
5.304417e-01,3.332864e+00,5.832201e+03,-4.335265e+03,7.266986e+03,-36.6246
6.700188e-01,4.209852e+00,5.354347e+03,-3.858787e+03,6.599945e+03,-35.7796
8.463232e-01,5.317605e+00,4.929024e+03,-3.435059e+03,6.007904e+03,-34.8728
1.069019e+00,6.716846e+00,4.550418e+03,-3.058304e+03,5.482657e+03,-33.9048
1.350314e+00,8.484273e+00,4.213355e+03,-2.723385e+03,5.016890e+03,-32.8774
1.705627e+00,1.071677e+01,3.913230e+03,-2.425740e+03,4.604083e+03,-31.7940
2.154435e+00,1.353671e+01,3.645940e+03,-2.161320e+03,4.238417e+03,-30.6595
2.721339e+00,1.709868e+01,3.407830e+03,-1.926533e+03,3.914694e+03,-29.4806
3.437414e+00,2.159791e+01,3.195643e+03,-1.718197e+03,3.628269e+03,-28.2655
4.341913e+00,2.728105e+01,3.006476e+03,-1.533500e+03,3.374984e+03,-27.0246
5.484417e+00,3.445961e+01,2.837737e+03,-1.369957e+03,3.151116e+03,-25.7696
6.927551e+00,4.352708e+01,2.687111e+03,-1.225385e+03,2.953326e+03,-24.5141
8.750422e+00,5.498052e+01,2.552525e+03,-1.097869e+03,2.778615e+03,-23.2731
1.105295e+01,6.944774e+01,2.432123e+03,-9.857424e+02,2.624292e+03,-22.0628
1.396135e+01,8.772177e+01,2.324230e+03,-8.875656e+02,2.487935e+03,-20.9006
1.763505e+01,1.108043e+02,2.227334e+03,-8.021092e+02,2.367361e+03,-19.8050
2.227543e+01,1.399607e+02,2.140054e+03,-7.283409e+02,2.260600e+03,-18.7954
2.813684e+01,1.767890e+02,2.061118e+03,-6.654146e+02,2.165868e+03,-17.8922
3.554059e+01,2.233081e+02,1.989332e+03,-6.126616e+02,2.081537e+03,-17.1174
4.489251e+01,2.820680e+02,1.923554e+03,-5.695823e+02,2.006112e+03,-16.4945
5.670524e+01,3.562895e+02,1.862654e+03,-5.358376e+02,1.938196e+03,-16.0492
7.162629e+01,4.500413e+02,1.805472e+03,-5.112358e+02,1.876457e+03,-15.8099
9.047357e+01,5.684622e+02,1.750767e+03,-4.957110e+02,1.819591e+03,-15.8089
1.142802e+02,7.180437e+02,1.697149e+03,-4.892839e+02,1.766271e+03,-16.0821
1.443512e+02,9.069851e+02,1.643011e+03,-4.919936e+02,1.715093e+03,-16.6701
1.823348e+02,1.145643e+03,1.586447e+03,-5.037821e+02,1.664515e+03,-17.6174
2.303132e+02,1.447101e+03,1.525193e+03,-5.243099e+02,1.612797e+03,-18.9712
2.909163e+02,1.827881e+03,1.456630e+03,-5.526844e+02,1.557958e+03,-20.7781
3.674662e+02,2.308858e+03,1.377925e+03,-5.871045e+02,1.497788e+03,-23.0778
4.641589e+02,2.916396e+03,1.286403e+03,-6.244825e+02,1.429968e+03,-25.8942
5.862947e+02,3.683798e+03,1.180247e+03,-6.602142e+02,1.352356e+03,-29.2220
7.405685e+02,4.653129e+03,1.059485e+03,-6.883832e+02,1.263479e+03,-33.0132
9.354369e+02,5.877523e+03,9.269105e+02,-7.026852e+02,1.163155e+03,-37.1655
1.181582e+03,7.424097e+03,7.883749e+02,-6.980574e+02,1.053005e+03,-41.5229
1.492496e+03,9.377626e+03,6.518671e+02,-6.724165e+02,9.365226e+02,-45.8890
1.885221e+03,1.184519e+04,5.255221e+02,-6.275195e+02,8.185072e+02,-50.0552
2.381286e+03,1.496206e+04,4.154886e+02,-5.683460e+02,7.040227e+02,-53.8314
3.007883e+03,1.889908e+04,3.247436e+02,-5.013699e+02,5.973527e+02,-57.0684
3.799357e+03,2.387207e+04,2.532203e+02,-4.327285e+02,5.013726e+02,-59.6651
4.799096e+03,3.015361e+04,1.987923e+02,-3.670791e+02,4.174512e+02,-61.5622
6.061899e+03,3.808803e+04,1.584099e+02,-3.072964e+02,3.457235e+02,-62.7291
7.656988e+03,4.811028e+04,1.289467e+02,-2.547213e+02,2.854999e+02,-63.1503
9.671799e+03,6.076970e+04,1.076573e+02,-2.096143e+02,2.356443e+02,-62.8151
1.221677e+04,7.676025e+04,9.233607e+01,-1.715855e+02,1.948526e+02,-61.7138
1.543142e+04,9.695845e+04,8.130639e+01,-1.399183e+02,1.618266e+02,-59.8392
1.949194e+04,1.224715e+05,7.333751e+01,-1.137782e+02,1.353657e+02,-57.1956
2.462092e+04,1.546978e+05,6.754546e+01,-9.233421e+01,1.144028e+02,-53.8133
3.109952e+04,1.954040e+05,6.330340e+01,-7.482059e+01,9.800735e+01,-49.7665
3.928284e+04,2.468214e+05,6.016963e+01,-6.056250e+01,8.537096e+01,-45.1864
4.961948e+04,3.117684e+05,5.783343e+01,-4.898158e+01,7.578853e+01,-40.2627
6.267603e+04,3.938051e+05,5.607579e+01,-3.959103e+01,6.864360e+01,-35.2231
7.916819e+04,4.974284e+05,5.474165e+01,-3.198605e+01,6.340154e+01,-30.2981
1.000000e+05,6.283185e+05,5.372048e+01,-2.583282e+01,5.960893e+01,-25.6817
